,event_number,participant,trajectory_Id,traffic_density,map_type,total_inactive_time,state,sbsod_score,gender,age,mobile_map_freq_num
0,1,8,1,0,0,5.23,1,2.4,0,1,3
1,2,8,1,0,0,35.79,1,2.4,0,1,3
2,3,8,2,0,0,15.79,1,2.4,0,1,3
3,4,8,2,0,0,52.18,1,2.4,0,1,3
4,5,8,2,0,0,39.23,1,2.4,0,1,3
5,6,8,3,0,0,1.03,1,2.4,0,1,3
6,7,8,3,0,0,0.97,1,2.4,0,1,3
7,8,8,3,0,0,9.83,1,2.4,0,1,3
8,9,8,3,0,0,7.26,1,2.4,0,1,3
9,10,8,3,0,0,8.3,1,2.4,0,1,3
10,11,8,3,0,0,10.24,1,2.4,0,1,3
11,12,8,4,0,0,15.61,1,2.4,0,1,3
12,13,8,4,0,0,20.1,1,2.4,0,1,3
13,14,8,4,0,0,0.89,1,2.4,0,1,3
14,15,8,4,0,0,20.94,1,2.4,0,1,3
15,16,8,4,0,0,1.04,1,2.4,0,1,3
16,17,8,4,0,0,1.36,1,2.4,0,1,3
17,18,8,5,0,1,6.91,1,2.4,0,1,3
18,19,8,5,0,1,24.42,1,2.4,0,1,3
19,20,8,5,0,1,1.11,1,2.4,0,1,3
20,21,8,5,0,1,1.82,1,2.4,0,1,3
21,22,8,5,0,1,21.74,1,2.4,0,1,3
22,23,8,5,0,1,40.81,1,2.4,0,1,3
23,24,8,5,0,1,11.2,1,2.4,0,1,3
24,25,8,5,0,1,1.94,1,2.4,0,1,3
25,26,8,6,0,1,26.72,1,2.4,0,1,3
26,27,8,7,0,1,3.18,1,2.4,0,1,3
27,28,8,7,0,1,7.16,1,2.4,0,1,3
28,29,8,7,0,1,27.29,1,2.4,0,1,3
29,30,8,7,0,1,2.13,1,2.4,0,1,3
30,31,8,8,0,1,29.35,1,2.4,0,1,3
31,32,8,9,1,0,3.62,1,2.4,0,1,3
32,33,8,9,1,0,19.51,1,2.4,0,1,3
33,34,8,9,1,0,32.77,1,2.4,0,1,3
34,35,8,10,1,0,19.15,1,2.4,0,1,3
35,36,8,10,1,0,8.49,1,2.4,0,1,3
36,37,8,10,1,0,9.57,1,2.4,0,1,3
37,38,8,11,1,0,22.53,1,2.4,0,1,3
38,39,8,12,1,0,30.93,1,2.4,0,1,3
39,40,8,13,1,1,0.8,1,2.4,0,1,3
40,41,8,13,1,1,17.05,1,2.4,0,1,3
41,42,8,14,1,1,0.68,1,2.4,0,1,3
42,43,8,14,1,1,1.06,1,2.4,0,1,3
