,Unnamed: 0,event_number,participant,trajectory_Id,traffic_density,map_type,total_inactive_time,state,time_previous,time_diff
0,0,1,8,1,0,0,5.229000000000001,1,9.889000000000001,10.377
1,1,2,8,1,0,0,35.79400000000002,1,9.850000000000001,25.716
2,2,3,8,2,0,0,15.788,1,10.155000000000001,10.329
3,3,4,8,2,0,0,52.183000000000014,1,10.262,36.706
4,4,5,8,2,0,0,39.229,1,9.969000000000003,99.216
5,5,6,8,3,0,0,1.028,1,13.381999999999998,13.896
6,6,7,8,3,0,0,0.97,1,10.024000000000001,25.238
7,7,8,8,3,0,0,9.828,1,13.707,40.377
8,8,9,8,3,0,0,7.260999999999999,1,9.53,60.58
9,9,10,8,3,0,0,8.304,1,9.671,78.247
10,10,11,8,3,0,0,10.242,1,10.086000000000002,96.856
11,11,12,8,4,0,0,15.612999999999998,1,10.04,10.38
12,12,13,8,4,0,0,20.103000000000005,1,9.677999999999999,36.235
13,13,14,8,4,0,0,0.893,1,9.934000000000001,66.787
14,14,15,8,4,0,0,20.945,1,23.105,90.962
15,15,16,8,4,0,0,1.045,1,9.488999999999999,122.183
16,16,17,8,4,0,0,1.358,1,9.863999999999999,133.695
17,17,18,8,5,0,1,6.906000000000001,1,9.73,10.16
18,18,19,8,5,0,1,24.421,1,10.121000000000002,27.506
19,19,20,8,5,0,1,1.111,1,9.781999999999998,62.196
20,20,21,8,5,0,1,1.823,1,9.917000000000002,73.803
21,21,22,8,5,0,1,21.743,1,9.827000000000002,86.166
22,22,23,8,5,0,1,40.808000000000014,1,9.985000000000001,118.253
23,23,24,8,5,0,1,11.203,1,9.941,169.42
24,24,25,8,5,0,1,1.939,1,10.003000000000002,191.137
25,25,26,8,6,0,1,26.722999999999995,1,9.693999999999999,10.06
26,26,27,8,7,0,1,3.18,1,10.058,10.43
27,27,28,8,7,0,1,7.164000000000001,1,9.992,23.93
28,28,29,8,7,0,1,27.285999999999994,1,9.611,41.268
29,29,30,8,7,0,1,2.1290000000000004,1,9.688,78.756
30,30,31,8,8,0,1,29.346,1,10.284999999999998,10.408
31,31,32,8,9,1,0,3.624000000000001,1,9.864,10.039
32,32,33,8,9,1,0,19.514000000000006,1,9.653,24.039
33,33,34,8,9,1,0,32.768,1,9.884,53.921
34,34,35,8,10,1,0,19.154,1,9.942,10.419
