,event_number,participant,trajectory_Id,traffic_density,map_type,total_inactive_time,state
0,1,8,1,0,0,5.23,1
1,2,8,1,0,0,35.79,1
2,3,8,2,0,0,15.79,1
3,4,8,2,0,0,52.18,1
4,5,8,2,0,0,39.23,1
5,6,8,3,0,0,1.03,1
6,7,8,3,0,0,0.97,1
7,8,8,3,0,0,9.83,1
8,9,8,3,0,0,7.26,1
9,10,8,3,0,0,8.3,1
10,11,8,3,0,0,10.24,1
11,12,8,4,0,0,15.61,1
12,13,8,4,0,0,20.1,1
13,14,8,4,0,0,0.89,1
14,15,8,4,0,0,20.94,1
15,16,8,4,0,0,1.04,1
16,17,8,4,0,0,1.36,1
17,18,8,5,0,1,6.91,1
18,19,8,5,0,1,24.42,1
19,20,8,5,0,1,1.11,1
20,21,8,5,0,1,1.82,1
21,22,8,5,0,1,21.74,1
22,23,8,5,0,1,40.81,1
23,24,8,5,0,1,11.2,1
24,25,8,5,0,1,1.94,1
25,26,8,6,0,1,26.72,1
26,27,8,7,0,1,3.18,1
27,28,8,7,0,1,7.16,1
28,29,8,7,0,1,27.29,1
29,30,8,7,0,1,2.13,1
30,31,8,8,0,1,29.35,1
31,32,8,9,1,0,3.62,1
32,33,8,9,1,0,19.51,1
33,34,8,9,1,0,32.77,1
34,35,8,10,1,0,19.15,1
35,36,8,10,1,0,8.49,1
36,37,8,10,1,0,9.57,1
37,38,8,11,1,0,22.53,1
38,39,8,12,1,0,30.93,1
39,40,8,13,1,1,0.8,1
40,41,8,13,1,1,17.05,1
41,42,8,14,1,1,0.68,1
42,43,8,14,1,1,1.06,1
43,44,8,14,1,1,13.86,1
44,45,8,14,1,1,0.81,1
45,46,8,14,1,1,13.81,1
46,47,8,14,1,1,76.88,1
47,48,8,14,1,1,0.56,1
48,49,8,14,1,1,0.53,1
49,50,8,14,1,1,12.97,1
50,51,8,15,1,1,1.28,1
51,52,8,15,1,1,1.31,1
52,53,8,15,1,1,26.81,1
53,54,8,15,1,1,20.9,1
54,55,8,15,1,1,0.99,1
55,56,8,15,1,1,14.38,1
56,57,8,16,1,1,3.18,1
57,58,8,16,1,1,37.22,1
58,59,8,16,1,1,84.96,1
59,60,9,17,0,0,0.91,1
60,61,9,17,0,0,0.89,1
61,62,9,17,0,0,1.53,1
62,63,9,17,0,0,2.92,1
63,64,9,17,0,0,25.4,1
64,65,9,18,0,0,23.44,1
65,66,9,18,0,0,7.01,1
66,67,9,18,0,0,22.07,1
67,68,9,19,0,0,20.64,1
68,69,9,21,0,1,0.88,1
69,70,9,21,0,1,0.74,1
70,71,9,21,0,1,1.38,1
71,72,9,21,0,1,3.17,1
72,73,9,21,0,1,5.84,1
73,74,9,21,0,1,8.58,1
74,75,9,21,0,1,19.85,1
75,76,9,22,0,1,4.11,1
76,77,9,22,0,1,10.9,1
77,78,9,22,0,1,8.64,1
78,79,9,23,0,1,20.03,1
79,80,9,24,0,1,6.11,1
80,81,9,25,1,0,60.1,1
81,82,9,26,1,0,15.81,1
82,83,9,26,1,0,50.11,1
83,84,9,27,1,0,3.94,1
84,85,9,27,1,0,4.97,1
85,86,9,27,1,0,18.9,1
86,87,9,27,1,0,5.58,1
87,88,9,27,1,0,4.4,1
88,89,9,27,1,0,6.36,1
89,90,9,27,1,0,7.58,1
90,91,9,27,1,0,3.94,1
91,92,9,28,1,0,34.26,1
92,93,9,29,1,1,1.53,1
93,94,9,29,1,1,61.82,1
94,95,9,29,1,1,0.92,1
95,96,9,29,1,1,25.77,1
96,97,9,29,1,1,25.38,1
97,98,9,30,1,1,2.35,1
98,99,9,30,1,1,0.59,1
99,100,9,30,1,1,0.83,1
100,101,9,30,1,1,0.75,1
101,102,9,30,1,1,4.03,1
102,103,9,30,1,1,1.39,1
103,104,9,30,1,1,49.86,1
104,105,9,30,1,1,37.29,1
105,106,9,30,1,1,0.79,1
106,107,9,30,1,1,0.37,1
107,108,9,30,1,1,0.27,1
108,109,9,30,1,1,0.99,1
109,110,9,30,1,1,7.62,1
110,111,9,30,1,1,3.1,1
111,112,9,30,1,1,0.22,1
112,113,9,30,1,1,1.62,1
113,114,9,30,1,1,62.04,1
114,115,9,31,1,1,6.89,1
115,116,9,31,1,1,11.93,1
116,117,9,31,1,1,59.69,1
117,118,9,32,1,1,28.94,1
118,119,9,32,1,1,23.57,1
119,120,10,33,0,0,7.95,1
120,121,10,33,0,0,0.67,1
121,122,10,33,0,0,0.69,1
122,123,10,33,0,0,1.2,1
123,124,10,33,0,0,1.12,1
124,125,10,33,0,0,1.59,1
125,126,10,33,0,0,1.72,1
126,127,10,33,0,0,2.03,1
127,128,10,33,0,0,0.75,1
128,129,10,33,0,0,2.2,1
129,130,10,34,0,0,0.68,1
130,131,10,34,0,0,1.0,1
131,132,10,34,0,0,10.35,1
132,133,10,34,0,0,3.3,1
133,134,10,35,0,0,8.57,1
134,135,10,37,0,1,2.7,1
135,136,10,37,0,1,10.54,1
136,137,10,37,0,1,0.66,1
137,138,10,37,0,1,1.08,1
138,139,10,37,0,1,4.04,1
139,140,10,37,0,1,1.84,1
140,141,10,37,0,1,0.92,1
141,142,10,38,0,1,2.65,1
142,143,10,38,0,1,0.49,1
143,144,10,38,0,1,4.98,1
144,145,10,38,0,1,0.98,1
145,146,10,38,0,1,0.34,1
146,147,10,39,0,1,0.24,1
147,148,10,39,0,1,0.2,1
148,149,10,39,0,1,3.92,1
149,150,10,39,0,1,3.78,1
150,151,10,40,0,1,3.62,1
151,152,10,40,0,1,0.98,1
152,153,10,40,0,1,1.27,1
153,154,10,40,0,1,0.7,1
154,155,10,40,0,1,0.84,1
155,156,10,40,0,1,0.15,1
156,157,10,40,0,1,1.4,1
157,158,10,40,0,1,5.31,1
158,159,10,40,0,1,0.62,1
159,160,10,40,0,1,0.54,1
160,161,10,40,0,1,2.99,1
161,162,10,41,1,0,1.54,1
162,163,10,41,1,0,0.16,1
163,164,10,41,1,0,2.13,1
164,165,10,41,1,0,11.02,1
165,166,10,42,1,0,0.26,1
166,167,10,42,1,0,4.26,1
167,168,10,42,1,0,1.16,1
168,169,10,42,1,0,1.11,1
169,170,10,42,1,0,10.24,1
170,171,10,42,1,0,1.23,1
171,172,10,42,1,0,3.21,1
172,173,10,42,1,0,1.43,1
173,174,10,42,1,0,13.31,1
174,175,10,42,1,0,0.66,1
175,176,10,42,1,0,2.17,1
176,177,10,43,1,0,1.68,1
177,178,10,43,1,0,0.88,1
178,179,10,43,1,0,7.43,1
179,180,10,43,1,0,0.41,1
180,181,10,44,1,0,2.69,1
181,182,10,44,1,0,1.61,1
182,183,10,44,1,0,1.13,1
183,184,10,44,1,0,5.04,1
184,185,10,44,1,0,0.63,1
185,186,10,44,1,0,0.93,1
186,187,10,44,1,0,8.01,1
187,188,10,44,1,0,2.03,1
188,189,10,44,1,0,0.63,1
189,190,10,44,1,0,2.25,1
190,191,10,44,1,0,0.97,1
191,192,10,44,1,0,0.92,1
192,193,10,44,1,0,1.14,1
193,194,10,44,1,0,1.53,1
194,195,10,44,1,0,2.83,1
195,196,10,44,1,0,0.52,1
196,197,10,44,1,0,2.85,1
197,198,10,45,1,1,2.88,1
198,199,10,45,1,1,0.87,1
199,200,10,45,1,1,4.22,1
200,201,10,45,1,1,12.05,1
201,202,10,46,1,1,2.84,1
202,203,10,46,1,1,3.28,1
203,204,10,46,1,1,1.13,1
204,205,10,46,1,1,0.94,1
205,206,10,46,1,1,11.34,1
206,207,10,46,1,1,0.5,1
207,208,10,46,1,1,1.68,1
208,209,10,46,1,1,0.43,1
209,210,10,46,1,1,0.79,1
210,211,10,46,1,1,3.7,1
211,212,10,47,1,1,1.14,1
212,213,10,47,1,1,9.66,1
213,214,10,47,1,1,7.28,1
214,215,10,47,1,1,0.13,1
215,216,10,47,1,1,2.45,1
216,217,10,47,1,1,0.94,1
217,218,10,47,1,1,4.33,1
218,219,10,47,1,1,0.43,1
219,220,10,48,1,1,3.89,1
220,221,10,48,1,1,3.91,1
221,222,10,48,1,1,1.14,1
222,223,10,48,1,1,8.23,1
223,224,10,48,1,1,1.97,1
224,225,10,48,1,1,4.44,1
225,226,12,49,0,0,0.82,1
226,227,12,49,0,0,13.12,1
227,228,12,50,0,0,4.25,1
228,229,12,50,0,0,6.13,1
229,230,12,50,0,0,1.08,1
230,231,12,50,0,0,1.23,1
231,232,12,50,0,0,2.94,1
232,233,12,50,0,0,0.8,1
233,234,12,51,0,0,0.65,1
234,235,12,51,0,0,0.53,1
235,236,12,51,0,0,4.11,1
236,237,12,51,0,0,11.36,1
237,238,12,51,0,0,19.26,1
238,239,12,52,0,0,3.35,1
239,240,12,52,0,0,2.51,1
240,241,12,52,0,0,0.7,1
241,242,12,53,0,1,3.16,1
242,243,12,53,0,1,1.1,1
243,244,12,53,0,1,13.76,1
244,245,12,53,0,1,1.33,1
245,246,12,53,0,1,10.92,1
246,247,12,54,0,1,0.92,1
247,248,12,54,0,1,6.34,1
248,249,12,54,0,1,0.88,1
249,250,12,54,0,1,6.62,1
250,251,12,54,0,1,0.76,1
251,252,12,55,0,1,3.58,1
252,253,12,56,0,1,10.16,1
253,254,12,56,0,1,0.85,1
254,255,12,56,0,1,0.69,1
255,256,12,56,0,1,8.84,1
256,257,12,56,0,1,4.47,1
257,258,12,56,0,1,0.26,1
258,259,12,56,0,1,2.62,1
259,260,12,56,0,1,0.73,1
260,261,12,56,0,1,15.95,1
261,262,12,57,1,0,5.73,1
262,263,12,57,1,0,10.49,1
263,264,12,57,1,0,5.04,1
264,265,12,57,1,0,2.43,1
265,266,12,58,1,0,19.97,1
266,267,12,58,1,0,1.91,1
267,268,12,58,1,0,19.34,1
268,269,12,58,1,0,84.89,1
