,event_number,participant,trajectory_Id_x,traffic_density,map_type,total_inactive_time,state,sbsod_score,gender,age,mobile_map_freq_num,is_shortcut,ifcross_preactive,ifcross_inactive,completion_rate
0,1,8,1,0,0,5.23,1,2.4,0,1,3,0,0,0,0.1
1,2,8,1,0,0,35.79,1,2.4,0,1,3,0,1,1,0.3
2,3,8,2,0,0,15.79,1,2.4,0,1,3,0,1,0,0.07
3,4,8,2,0,0,52.18,1,2.4,0,1,3,0,0,1,0.24
4,5,8,2,0,0,39.23,1,2.4,0,1,3,0,0,0,0.73
5,6,8,3,0,0,1.03,1,2.4,0,1,3,0,1,0,0.14
6,7,8,3,0,0,0.97,1,2.4,0,1,3,0,0,0,0.22
7,8,8,3,0,0,9.83,1,2.4,0,1,3,0,0,0,0.36
8,9,8,3,0,0,7.26,1,2.4,0,1,3,0,1,0,0.56
9,10,8,3,0,0,8.3,1,2.4,0,1,3,0,1,0,0.68
10,11,8,3,0,0,10.24,1,2.4,0,1,3,0,0,1,0.87
11,12,8,4,0,0,15.61,1,2.4,0,1,3,0,1,0,0.06
12,13,8,4,0,0,20.1,1,2.4,0,1,3,0,0,0,0.11
13,14,8,4,0,0,0.89,1,2.4,0,1,3,0,0,0,0.15
14,15,8,4,0,0,20.94,1,2.4,0,1,3,0,0,1,0.28
15,16,8,4,0,0,1.04,1,2.4,0,1,3,0,0,0,0.71
16,17,8,4,0,0,1.36,1,2.4,0,1,3,0,0,0,0.89
17,18,8,5,0,1,6.91,1,2.4,0,1,3,0,0,1,0.02
18,19,8,5,0,1,24.42,1,2.4,0,1,3,0,0,1,0.11
19,20,8,5,0,1,1.11,1,2.4,0,1,3,0,0,0,0.3
20,21,8,5,0,1,1.82,1,2.4,0,1,3,0,0,0,0.36
21,22,8,5,0,1,21.74,1,2.4,0,1,3,0,0,0,0.42
22,23,8,5,0,1,40.81,1,2.4,0,1,3,0,0,1,0.6
23,24,8,5,0,1,11.2,1,2.4,0,1,3,0,0,0,0.87
24,25,8,5,0,1,1.94,1,2.4,0,1,3,0,0,1,0.98
25,26,8,6,0,1,26.72,1,2.4,0,1,3,0,0,0,0.26
26,27,8,7,0,1,3.18,1,2.4,0,1,3,0,0,0,0.1
27,28,8,7,0,1,7.16,1,2.4,0,1,3,0,0,0,0.22
28,29,8,7,0,1,27.29,1,2.4,0,1,3,0,0,0,0.39
29,30,8,7,0,1,2.13,1,2.4,0,1,3,0,0,0,0.96
30,31,8,8,0,1,29.35,1,2.4,0,1,3,0,0,1,0.16
31,32,8,9,1,0,3.62,1,2.4,0,1,3,0,0,1,0.1
32,33,8,9,1,0,19.51,1,2.4,0,1,3,0,0,0,0.29
33,34,8,9,1,0,32.77,1,2.4,0,1,3,0,0,0,0.61
34,35,8,10,1,0,19.15,1,2.4,0,1,3,0,0,0,0.14
35,36,8,10,1,0,8.49,1,2.4,0,1,3,0,1,0,0.6
36,37,8,10,1,0,9.57,1,2.4,0,1,3,0,1,1,0.91
37,38,8,11,1,0,22.53,1,2.4,0,1,3,0,0,1,0.36
38,39,8,12,1,0,30.93,1,2.4,0,1,3,0,0,0,0.19
39,40,8,13,1,1,0.8,1,2.4,0,1,3,0,0,0,0.15
40,41,8,13,1,1,17.05,1,2.4,0,1,3,0,0,1,0.54
41,42,8,14,1,1,0.68,1,2.4,0,1,3,0,0,0,0.05
42,43,8,14,1,1,1.06,1,2.4,0,1,3,0,0,0,0.13
43,44,8,14,1,1,13.86,1,2.4,0,1,3,0,0,0,0.17
44,45,8,14,1,1,0.81,1,2.4,0,1,3,0,0,0,0.31
45,46,8,14,1,1,13.81,1,2.4,0,1,3,0,0,1,0.4
46,47,8,14,1,1,76.88,1,2.4,0,1,3,0,0,0,0.53
47,48,8,14,1,1,0.56,1,2.4,0,1,3,0,0,0,0.78
48,49,8,14,1,1,0.53,1,2.4,0,1,3,0,0,0,0.88
49,50,8,14,1,1,12.97,1,2.4,0,1,3,0,0,0,0.96
50,51,8,15,1,1,1.28,1,2.4,0,1,3,0,1,0,0.08
51,52,8,15,1,1,1.31,1,2.4,0,1,3,0,0,0,0.16
52,53,8,15,1,1,26.81,1,2.4,0,1,3,0,0,0,0.25
53,54,8,15,1,1,20.9,1,2.4,0,1,3,0,0,0,0.52
54,55,8,15,1,1,0.99,1,2.4,0,1,3,0,0,0,0.72
55,56,8,15,1,1,14.38,1,2.4,0,1,3,0,0,0,0.82
56,57,8,16,1,1,3.18,1,2.4,0,1,3,0,0,0,0.06
57,58,8,16,1,1,37.22,1,2.4,0,1,3,0,0,0,0.15
58,59,8,16,1,1,84.96,1,2.4,0,1,3,0,0,1,0.56
59,60,9,17,0,0,0.91,1,5.27,0,1,2,0,0,1,0.05
60,61,9,17,0,0,0.89,1,5.27,0,1,2,0,0,0,0.21
61,62,9,17,0,0,1.53,1,5.27,0,1,2,0,0,0,0.37
