"participantno","scenario","startpoint","lg_1","lg_2","lg_3","lg_4","total_length","duration_1","duration_2","duration_3","duration_4","total_duration","total_speed","num_stops_1","num_stops_2","num_stops_3","num_stops_4","total_walkingstops","stops_duration_1","stops_duration_2","stops_duration_3","stops_duration_4","total_walkingstop_duration"
10,1,"n",298.470980674191,175.175580043565,58.3715485737309,83.9262034277623,615.944312719249,145,68,24,40,277,2.22362567768682,10,3,2,4,19,14.488,6.035,0.952,1.545,23.02
10,2,"e",257.111238675411,152.57154526673,156.7315330996,320.287278186226,886.701595227967,114,69,61,155,399,2.22230976247611,5,6,1,6,18,0.004,0.099,0.001,13.486,13.59
10,3,"s",159.469959594077,309.722270567499,86.2321948253826,442.842720093944,998.267145080903,79,205,62,255,601,1.66101022476024,4,14,5,27,50,8.371,48.353,12.056,16.506,85.286
10,4,"w",194.532838215525,462.814762627325,265.830117511955,256.440231813851,1179.61795016866,87,222,119,105,533,2.2131668858699,7,20,4,4,35,0.765,7.657,0.01,0.004,8.436
12,1,"s",76.0764341152629,201.393405414471,185.109727899072,240.73379397615,703.313361404956,57,109,111,106,383,1.83632731437325,2,6,6,2,16,23.859,24.717,32.248,17.601,98.425
12,2,"w",307.594918420516,247.822914252503,45.9863129298754,344.739299630236,946.143445233131,136,98,30,163,427,2.21579261178719,5,9,3,10,27,19.988,0.205,0.003,17.765,37.961
12,3,"n",231.875224569618,280.272638541864,201.28459816822,184.824228857999,898.256690137702,148,202,122,142,614,1.4629587787259,24,14,6,14,58,24.727,51.006,22.478,32.521,130.732
12,4,"e",149.104539081631,125.242463646842,216.937368090204,177.973139093193,669.25750991187,103,106,102,123,434,1.54206799518864,5,6,7,8,26,0.205,44.273,6.688,0.02,51.186
13,1,"n",63.2666903158081,230.398311838192,115.239198180194,183.166117358167,592.07031769236,34,103,50,67,254,2.33098550272583,2,4,2,2,10,12.196,13.964,9.218,4.968,40.346
13,2,"e",238.112751097694,76.5036092958475,139.691735002489,126.00679040213,580.31488579816,90,45,58,54,247,2.34945297893992,5,4,5,1,15,0.007,0.128,0.434,8.028,8.597
13,3,"s",167.884555698436,102.454946154343,60.2306473683129,156.867465862965,487.437615084057,89,55,38,81,263,1.85337496229679,5,9,3,6,23,15.414,10.149,11.663,18.175,55.401
13,4,"w",189.975567150579,315.144634645322,387.921389047711,178.713961210801,1071.75555205441,75,136,190,76,477,2.24686698543902,8,7,13,5,33,0.548,8.04,5.189,0.056,13.833
15,1,"w",115.464555154839,122.505255256055,237.348396650099,148.595138935519,623.913345996512,93,63,104,56,316,1.97440932277377,6,2,3,4,15,21.824,4.068,10.48,0.001,36.373
15,2,"s",363.049872766771,168.80174125848,115.103522607998,308.37765331528,955.332789948528,147,68,50,120,385,2.48138386999618,6,1,2,7,16,11.288,0.001,0.001,0.533,11.823
15,3,"n",238.123075534554,310.509911195187,83.4482411667942,369.425489742985,1001.50671763952,166,201,68,178,613,1.63377931099432,10,12,11,6,39,5.104,27.981,3.244,0.009,36.338
15,4,"e",315.515418507483,757.236098793394,258.191358446565,264.561610269245,1595.50448601669,170,386,198,165,919,1.73613110556767,8,30,26,17,81,6.891,14.525,40.881,27.567,89.864
16,1,"e",209.601757287384,216.539283463014,117.922584209168,21.8837004394345,565.947325399001,121,113,63,37,334,1.69445307005689,4,5,3,8,20,1.321,13.769,0.003,0.802,15.895
16,2,"w",281.370101353088,193.810796290298,153.240388310527,264.450029325373,892.871315279286,135,84,123,154,496,1.80014378080501,6,4,6,19,35,19.073,1.625,48.822,32.572,102.092
16,3,"s",158.448185274182,100.607914320563,63.7682710712584,187.607992687113,510.432363353116,88,90,45,126,349,1.46255691505191,6,10,5,15,36,13.235,30.231,16.842,17.799,78.107
16,4,"n",73.2456636849532,326.300885517569,227.690688580512,172.051996527674,799.289234310707,86,278,203,144,711,1.12417613827104,11,35,30,13,89,34.899,54.113,61.627,32.31,182.949
17,1,"w",139.532333165918,369.660942289355,135.012124008754,124.137161963727,768.342561427755,75,152,104,81,412,1.86490912967902,4,1,16,7,28,14.158,21.78,29.917,27.744,93.599
17,2,"n",197.824302975126,95.8098379089732,251.532476386941,182.664295281457,727.830912552497,121,74,127,105,427,1.70452204344847,8,7,7,3,25,15.432,22.906,20.636,28.023,86.997
17,3,"s",147.562079352256,113.551739588091,393.45519095503,334.411004507385,988.98001440276,74,82,322,153,631,1.56732173439423,3,6,25,13,47,5.36,18.377,98.422,20.869,143.028
17,4,"e",197.111811623029,92.7570067898302,223.506224259405,336.583003520426,849.95804619269,83,48,99,175,405,2.09866184245109,9,5,4,17,35,0.52,8.927,0.012,7.545,17.004
18,1,"s",77.8943901212793,167.143662665925,158.728000257799,242.358339875259,646.124392920262,42,75,89,103,309,2.09101745281638,3,3,5,5,16,12.828,15.729,29.721,17.662,75.94
18,2,"w",556.619887293489,80.7672413783554,148.107615620893,222.17165139115,1007.66639568389,232,47,63,115,457,2.20495929033673,8,5,2,4,19,27.773,13.474,12.81,33.242,87.299
18,3,"n",194.504376211114,206.239265796323,199.394416893651,54.0527144730545,654.190773374142,136,130,105,30,401,1.631398437342,17,7,11,3,38,34.72,30.423,20.372,5.609,91.124
18,4,"e",124.951731446539,135.935823978449,82.0797930654807,137.875835790949,480.843184281418,63,61,46,73,243,1.97877853613752,7,4,1,2,14,1.138,0.008,0.003,0.563,1.712
19,1,"e",208.157371830221,307.219857368415,50.9779126775473,125.989000199515,692.344142075698,82,123,25,75,305,2.26998079369081,4,7,4,5,20,0.065,2.104,5.725,28.045,35.939
19,2,"s",228.49115767401,217.022047546652,78.3284178334265,40.8950769735976,564.736700027687,90,96,29,20,235,2.40313489373484,4,4,2,4,14,10.994,15.649,0.001,2.677,29.321
19,3,"w",212.442821592835,69.4159074414596,193.260542491758,92.562253613696,567.681525139749,119,67,129,51,366,1.55104241841461,11,15,14,5,45,19.691,22.864,46.597,14.202,103.354
19,4,"n",64.13484173515,207.624248170958,113.12502976497,210.847650788452,595.73177045953,37,96,56,118,307,1.94049436631769,3,5,4,10,22,12.385,12.289,14.255,23.576,62.505
20,1,"n",64.0280311033316,247.391205630943,127.215416560625,210.376259250368,649.010912545268,56,128,60,104,348,1.86497388662433,2,5,4,8,19,31.472,36.534,13.194,18.295,99.495
20,2,"e",228.209048527379,140.061999379809,150.027952137894,160.952255999013,679.251256044094,89,59,63,69,280,2.42589734301462,5,5,4,3,17,0.004,0.908,3.046,4.574,8.532
20,3,"s",150.921159692684,117.354329798271,172.995141711796,31.4378428596869,472.708474062437,64,56,71,20,211,2.24032452162293,4,2,5,3,14,5.907,13.662,5.849,7.615,33.033
20,4,"w",185.685518419848,255.488434038256,256.624403548405,149.341485296842,847.139841303351,79,126,120,80,405,2.09170331186013,6,7,9,5,27,9.187,10.234,1.028,12.694,33.143
21,1,"s",78.2929905669984,181.841859033932,178.379267420085,265.227851107306,703.741968128321,58,105,79,120,362,1.94403858598984,5,2,4,6,17,17.372,34.278,13.7,16.381,81.731
21,2,"w",339.298985370676,495.224452456302,371.543342517158,208.989741395608,1415.05652173974,134,178,146,87,545,2.59643398484357,2,6,10,3,21,8.346,0.778,2.608,6.269,18.001
21,3,"e",254.8149536174,243.563346668037,370.117477143689,79.0336002047706,947.529377633897,126,119,169,52,466,2.03332484470793,5,2,7,11,25,0.009,0.004,0.228,2.185,2.426
21,4,"n",61.9120963997122,216.797608209006,112.794893119997,129.566808997178,521.071406725894,44,103,62,53,262,1.98882216307593,9,3,2,3,17,6.605,8.964,14.087,3.295,32.951
22,1,"e",227.904905172137,377.107186814637,98.0549555524629,127.230169366109,830.297216905346,146,192,63,89,490,1.69448411613336,5,12,5,2,24,0.004,3.596,1.203,38.009,42.812
22,2,"s",380.371928274354,217.073622530365,76.4839203152728,49.9042191928391,723.83369031283,159,101,47,46,353,2.05052036915816,4,2,5,3,14,19.35,16.861,1.239,23.322,60.772
22,3,"w",209.726508942084,69.2305380085382,226.625243487426,231.694243801208,737.276534239256,132,61,152,147,492,1.4985295411367,10,9,13,11,43,44.032,21.443,40.863,15.582,121.92
22,4,"n",76.8459261839511,230.938771481903,126.718838317107,137.267656575036,571.771192557997,72,109,77,74,332,1.72220238722288,7,10,7,2,26,24.826,13.526,20.154,17.423,75.929
23,1,"n",67.9897216854173,218.45354324301,145.931109257283,148.64596738686,581.02034157257,42,88,56,57,243,2.3910302122328,1,4,2,2,9,18.259,6.134,0.002,4.792,29.187
23,2,"e",431.322827499003,197.541763274135,82.3227360453511,167.10544785656,878.29277467505,176,88,47,73,384,2.28722076738294,4,6,5,5,20,0.61,10.269,13.678,1.539,26.096
23,3,"s",590.498405517292,83.8223688325324,93.0802862447707,131.924674477747,899.325735072342,258,68,66,70,462,1.94659250015658,10,4,6,5,25,22.179,27.587,19.004,8.905,77.675
23,4,"w",230.478031242028,513.658555813234,196.861277278148,192.066687615981,1133.06455194939,129,232,97,120,578,1.96031929403009,11,11,5,9,36,9.535,11.739,0.637,5.817,27.728
24,1,"w",116.500186347605,327.533923388274,134.677959430832,172.240736409034,750.952805575745,69,143,69,95,376,1.99721490844613,3,6,3,3,15,21.557,16.04,13.605,31.464,82.666
24,2,"n",183.740187029129,65.0717726942123,477.417539180257,56.2338128561554,782.463311759753,85,46,207,35,373,2.09775686798862,2,2,9,2,15,21.367,23.614,23.422,5.083,73.486
24,3,"e",191.224523959489,181.360958662176,75.6669212326647,124.031583014282,572.283986868612,101,99,57,81,338,1.69314789014382,5,7,7,9,28,0.008,0.014,0.517,10.804,11.343
24,4,"s",86.2527119544234,255.738091082546,289.054372894002,157.280408800391,788.325584731363,72,137,175,89,473,1.66665028484432,4,9,7,2,22,25.128,20.89,35.99,14.406,96.414
25,1,"e",206.465528428014,212.248888673665,77.8189991094758,47.1253412461598,543.658757457315,96,103,42,35,276,1.9697781067294,5,2,4,4,15,2.775,28.661,0.035,0.165,31.636
