participant,scenario,taskId,planning_distance,navigating_distance
8,1,0.0,0.0,0.0
8,1,1.0,27.11,144.6
8,1,2.0,27.61,309.87
8,1,3.0,43.4,253.34
8,1,4.0,0.0,189.42
8,2,0.0,0.0,0.0
8,2,1.0,1.82,559.04
8,2,2.0,2.17,113.17
8,2,3.0,2.39,198.05
8,2,4.0,4.15,73.31
8,3,0.0,0.0,0.0
8,3,1.0,11.96,222.9
8,3,2.0,0.06,172.23
8,3,3.0,1.87,70.19
8,3,4.0,0.77,101.56
8,4,0.0,0.0,0.0
8,4,1.0,0.3,71.08
8,4,2.0,0.54,336.47
8,4,3.0,11.57,300.15
8,4,4.0,0.0,248.09
9,1,0.0,0.0,0.0
9,1,1.0,0.4,213.3
9,1,2.0,12.7,240.58
9,1,3.0,0.13,83.71
9,1,4.0,26.17,0.2
9,2,0.0,0.0,0.0
9,2,1.0,0.0,281.62
9,2,2.0,7.05,153.45
9,2,3.0,0.0,81.59
9,2,4.0,0.0,43.51
9,3,0.0,0.0,0.0
9,3,1.0,1.25,140.91
9,3,2.0,0.0,159.84
9,3,3.0,0.0,212.18
9,3,4.0,0.0,56.31
9,4,0.0,0.0,0.0
9,4,1.0,2.62,234.84
9,4,2.0,1.48,494.76
9,4,3.0,0.51,209.03
9,4,4.0,3.84,171.69
10,1,0.0,0.0,0.0
10,1,1.0,0.0,298.47
10,1,2.0,0.0,175.18
10,1,3.0,3.94,54.43
10,1,4.0,76.81,7.12
10,2,0.0,0.0,0.0
10,2,1.0,0.05,257.06
10,2,2.0,0.13,152.44
10,2,3.0,0.06,156.68
10,2,4.0,0.21,320.07
10,3,0.0,0.0,0.0
10,3,1.0,0.17,159.3
10,3,2.0,12.2,297.52
10,3,3.0,0.0,86.23
10,3,4.0,0.56,442.29
10,4,0.0,0.0,0.0
10,4,1.0,9.51,185.02
10,4,2.0,154.44,308.37
10,4,3.0,2.76,263.07
10,4,4.0,21.56,234.88
12,1,0.0,0.0,0.0
12,1,1.0,0.0,76.08
12,1,2.0,0.0,201.39
12,1,3.0,0.0,185.11
12,1,4.0,0.0,240.73
12,2,0.0,0.0,0.0
12,2,1.0,0.0,307.59
12,2,2.0,0.15,247.67
12,2,3.0,7.63,38.35
12,2,4.0,0.17,344.57
12,3,0.0,0.0,0.0
12,3,1.0,0.34,231.53
12,3,2.0,0.04,280.23
12,3,3.0,0.0,201.28
12,3,4.0,1.78,183.05
12,4,0.0,0.0,0.0
12,4,1.0,0.05,149.05
12,4,2.0,0.0,125.24
12,4,3.0,0.93,216.01
12,4,4.0,0.04,177.94
13,1,0.0,0.0,0.0
13,1,1.0,0.0,63.27
13,1,2.0,0.63,229.77
13,1,3.0,0.0,115.24
13,1,4.0,0.0,183.17
13,2,0.0,0.0,0.0
13,2,1.0,0.03,238.08
13,2,2.0,0.3,76.2
13,2,3.0,0.03,139.66
13,2,4.0,0.0,126.01
13,3,0.0,0.0,0.0
13,3,1.0,0.0,167.88
13,3,2.0,0.34,102.11
13,3,3.0,0.03,60.2
13,3,4.0,0.07,156.79
13,4,0.0,0.0,0.0
13,4,1.0,3.99,185.98
13,4,2.0,2.84,312.3
13,4,3.0,0.5,387.42
13,4,4.0,2.64,176.07
15,1,0.0,0.0,0.0
15,1,1.0,0.0,115.46
15,1,2.0,0.0,122.51
15,1,3.0,0.0,237.35
15,1,4.0,4.48,144.11
15,2,0.0,0.0,0.0
15,2,1.0,0.37,362.68
15,2,2.0,165.44,3.36
15,2,3.0,42.7,72.4
15,2,4.0,21.43,286.94
15,3,0.0,0.0,0.0
15,3,1.0,2.16,235.96
15,3,2.0,0.0,310.51
15,3,3.0,2.66,80.79
15,3,4.0,9.11,360.31
15,4,0.0,0.0,0.0
15,4,1.0,17.14,298.37
15,4,2.0,17.26,739.98
15,4,3.0,3.1,255.09
15,4,4.0,0.0,264.56
16,1,0.0,0.0,0.0
16,1,1.0,2.47,207.13
16,1,2.0,0.88,215.66
16,1,3.0,0.03,117.89
16,1,4.0,0.25,21.64
16,2,0.0,0.0,0.0
16,2,1.0,0.0,281.37
16,2,2.0,5.72,188.09
16,2,3.0,0.0,153.24
16,2,4.0,0.0,264.45
16,3,0.0,0.0,0.0
16,3,1.0,0.3,158.15
16,3,2.0,0.0,100.61
16,3,3.0,0.22,63.55
16,3,4.0,1.15,186.46
16,4,0.0,0.0,0.0
16,4,1.0,0.04,73.2
16,4,2.0,0.37,325.93
16,4,3.0,0.0,227.69
16,4,4.0,0.0,172.05
17,1,0.0,0.0,0.0
17,1,1.0,0.5,139.03
17,1,2.0,0.0,369.66
17,1,3.0,0.02,134.99
17,1,4.0,0.0,124.14
17,2,0.0,0.0,0.0
17,2,1.0,1.89,195.93
17,2,2.0,0.0,95.81
17,2,3.0,0.0,251.53
17,2,4.0,0.0,182.66
17,3,0.0,0.0,0.0
17,3,1.0,0.0,147.56
17,3,2.0,0.0,113.55
17,3,3.0,1.81,391.64
17,3,4.0,0.17,334.24
17,4,0.0,0.0,0.0
17,4,1.0,0.88,196.23
17,4,2.0,0.6,92.16
17,4,3.0,0.37,223.14
17,4,4.0,0.18,336.4
18,1,0.0,0.0,0.0
18,1,1.0,0.0,77.89
18,1,2.0,0.0,167.14
18,1,3.0,0.0,158.73
18,1,4.0,0.0,242.36
18,2,0.0,0.0,0.0
18,2,1.0,0.0,556.62
18,2,2.0,0.0,80.77
18,2,3.0,0.0,148.11
18,2,4.0,0.47,221.7
18,3,0.0,0.0,0.0
18,3,1.0,1.61,192.9
18,3,2.0,0.0,206.24
18,3,3.0,0.0,199.39
18,3,4.0,0.0,54.05
18,4,0.0,0.0,0.0
18,4,1.0,0.56,124.39
18,4,2.0,0.02,135.91
18,4,3.0,0.87,81.21
18,4,4.0,0.01,137.86
19,1,0.0,0.0,0.0
19,1,1.0,0.09,208.07
19,1,2.0,4.76,302.46
19,1,3.0,0.0,50.98
19,1,4.0,0.0,125.99
19,2,0.0,0.0,0.0
19,2,1.0,0.0,228.49
19,2,2.0,0.0,217.02
19,2,3.0,0.34,77.99
19,2,4.0,0.35,40.55
19,3,0.0,0.0,0.0
19,3,1.0,1.08,211.37
19,3,2.0,1.26,68.15
19,3,3.0,1.46,191.8
19,3,4.0,0.46,92.1
19,4,0.0,0.0,0.0
19,4,1.0,0.31,63.83
19,4,2.0,0.0,207.62
19,4,3.0,0.0,113.13
19,4,4.0,0.0,210.85
20,1,0.0,0.0,0.0
20,1,1.0,0.0,64.03
20,1,2.0,0.0,247.39
20,1,3.0,0.0,127.22
20,1,4.0,0.0,210.38
20,2,0.0,0.0,0.0
20,2,1.0,117.18,111.02
20,2,2.0,33.1,106.96
20,2,3.0,88.65,61.38
20,2,4.0,123.64,37.31
20,3,0.0,0.0,0.0
20,3,1.0,88.23,62.69
20,3,2.0,0.0,117.35
20,3,3.0,165.5,7.49
20,3,4.0,0.0,31.44
20,4,0.0,0.0,0.0
20,4,1.0,1.29,184.4
20,4,2.0,0.13,255.36
20,4,3.0,1.56,255.07
20,4,4.0,0.13,149.21
21,1,0.0,0.0,0.0
21,1,1.0,0.0,78.29
21,1,2.0,0.0,181.84
21,1,3.0,0.0,178.38
21,1,4.0,0.0,265.23
21,2,0.0,0.0,0.0
21,2,1.0,0.0,339.3
21,2,2.0,0.3,494.93
21,2,3.0,0.25,371.29
21,2,4.0,0.0,208.99
21,3,0.0,0.0,0.0
21,3,1.0,0.03,254.78
21,3,2.0,0.21,243.36
21,3,3.0,1.0,369.12
21,3,4.0,0.49,78.55
21,4,0.0,0.0,0.0
21,4,1.0,0.34,61.57
21,4,2.0,0.0,216.8
21,4,3.0,0.0,112.79
21,4,4.0,0.0,129.57
22,1,0.0,0.0,0.0
22,1,1.0,0.13,227.77
22,1,2.0,0.07,377.03
22,1,3.0,0.04,98.01
22,1,4.0,0.0,127.23
22,2,0.0,0.0,0.0
22,2,1.0,0.0,380.37
22,2,2.0,0.0,217.07
22,2,3.0,1.01,75.47
22,2,4.0,0.0,49.9
22,3,0.0,0.0,0.0
22,3,1.0,0.01,209.72
22,3,2.0,0.09,69.14
22,3,3.0,0.07,226.56
22,3,4.0,5.86,225.83
22,4,0.0,0.0,0.0
22,4,1.0,0.69,76.16
22,4,2.0,0.0,230.94
22,4,3.0,0.0,126.72
22,4,4.0,20.1,117.16
23,1,0.0,0.0,0.0
23,1,1.0,0.0,67.99
23,1,2.0,0.82,217.63
23,1,3.0,1.27,144.66
23,1,4.0,0.0,148.65
23,2,0.0,0.0,0.0
23,2,1.0,0.07,431.26
23,2,2.0,1.58,195.96
23,2,3.0,0.81,81.51
23,2,4.0,1.94,165.16
23,3,0.0,0.0,0.0
23,3,1.0,0.05,590.44
23,3,2.0,0.0,83.82
23,3,3.0,0.13,92.95
23,3,4.0,0.03,131.89
23,4,0.0,0.0,0.0
23,4,1.0,3.22,227.26
23,4,2.0,0.01,513.64
23,4,3.0,0.22,196.64
23,4,4.0,0.53,191.54
24,1,0.0,0.0,0.0
24,1,1.0,0.11,116.39
24,1,2.0,0.0,327.53
24,1,3.0,0.0,134.68
24,1,4.0,0.0,172.24
24,2,0.0,0.0,0.0
24,2,1.0,0.0,183.74
24,2,2.0,0.0,65.07
24,2,3.0,0.0,477.42
24,2,4.0,0.0,56.23
24,3,0.0,0.0,0.0
