participant,scenario,planning_stop,navigation_stop
8,1,10,23
8,2,6,14
8,3,15,11
8,4,15,40
9,1,9,7
9,2,5,9
9,3,7,32
9,4,16,52
10,1,5,14
10,2,9,8
10,3,11,39
10,4,15,17
12,1,4,15
12,2,15,16
12,3,8,43
12,4,11,16
13,1,5,8
13,2,6,9
13,3,7,20
13,4,10,24
15,1,3,15
15,2,5,11
15,3,11,28
15,4,12,60
16,1,12,8
16,2,4,29
16,3,8,30
16,4,5,78
17,1,8,19
17,2,4,24
17,3,19,31
17,4,6,30
18,1,4,14
18,2,5,18
18,3,8,32
18,4,4,14
19,1,7,16
19,2,5,15
19,3,17,25
19,4,5,20
20,1,4,17
20,2,13,9
20,3,6,11
20,4,14,16
21,1,4,17
21,2,7,19
21,3,9,16
21,4,4,14
22,1,10,19
22,2,6,12
22,3,7,33
22,4,6,24
23,1,3,10
23,2,7,18
23,3,6,20
23,4,6,27
24,1,5,12
24,2,4,14
24,3,10,18
24,4,13,13
25,1,6,10
25,2,4,12
25,3,5,25
25,4,8,24
26,1,4,22
26,2,6,21
26,3,13,39
26,4,36,33
27,1,11,8
27,2,4,9
27,3,13,9
27,4,4,14
28,1,4,13
28,2,4,11
28,3,10,11
28,4,12,11
29,1,4,19
29,2,12,18
29,3,8,20
29,4,5,21
30,1,5,15
30,2,5,23
30,3,16,32
30,4,13,22
31,1,8,22
31,2,6,17
31,3,3,36
31,4,12,17
32,1,8,16
32,2,14,20
32,3,6,21
32,4,8,21
33,1,8,10
33,2,5,14
33,3,9,12
33,4,13,12
34,1,9,13
34,2,5,14
34,3,15,35
34,4,26,11
35,1,4,9
35,2,4,9
35,3,16,23
35,4,4,32
36,1,4,13
36,2,11,12
36,3,7,13
36,4,12,26
37,1,7,22
37,2,9,16
37,3,12,32
37,4,10,26
38,1,8,14
38,2,5,28
38,3,9,38
38,4,6,42
39,1,6,17
39,2,5,15
39,3,9,33
39,4,10,26
40,1,11,16
40,2,4,23
40,3,13,17
40,4,7,27
41,1,14,18
41,2,4,15
41,3,8,33
41,4,11,18
42,1,7,11
42,2,4,11
42,3,7,11
42,4,8,15
43,1,8,13
43,2,8,12
43,3,16,22
43,4,9,8
44,1,4,22
44,2,6,17
44,3,12,21
44,4,13,21
45,1,5,19
45,2,11,8
45,3,26,11
45,4,5,16
46,1,4,15
46,2,4,15
46,3,8,15
46,4,8,17
47,1,4,14
47,2,7,14
47,3,12,24
47,4,8,15
48,1,6,8
48,2,14,10
48,3,5,18
48,4,8,16
49,1,6,14
49,2,4,19
49,3,8,26
49,4,8,11
50,1,5,12
50,2,10,11
50,3,5,13
50,4,10,12
51,1,9,12
51,2,11,15
51,3,8,53
51,4,10,20
52,1,4,13
52,2,14,10
52,3,5,12
52,4,15,20
53,1,5,37
53,2,8,18
53,3,10,29
53,4,6,50
54,1,11,9
54,2,6,30
54,3,8,25
54,4,8,18
55,1,7,21
55,2,9,12
55,3,10,35
55,4,15,26
56,1,6,17
56,2,4,9
56,3,8,10
56,4,5,10
57,1,7,13
57,2,6,20
57,3,6,22
57,4,7,38
58,1,4,15
58,2,7,9
58,3,7,12
58,4,9,11
59,1,4,20
59,2,4,14
59,3,24,35
59,4,12,38
60,1,8,17
60,2,4,10
60,3,23,9
60,4,18,29
61,1,4,13
61,2,4,13
61,3,6,15
61,4,9,13
62,1,4,16
62,2,7,13
62,3,23,27
62,4,13,37
63,1,10,14
63,2,4,46
63,3,5,29
63,4,7,16
