id,scenario_id,planning_time_x,navigating_time,participant,scenario,planning_time_y,navigation_time,difference_planning,difference_navigation,distance of wrongset
8,1,121.1949999,461.5630004,8,1,121.195,461.721,0,-0.16,
8,2,44.06900001,359.6049995,8,2,44.069,359.893,0,-0.29,
8,3,58.02800012,248.2769997,8,3,58.031,248.46,0,-0.18,
8,4,72.90100002,562.4289997,8,4,72.901,562.603,0,-0.17,
9,1,152.9070003,215.3699999,9,1,152.907,215.555,0,-0.19,
9,2,74.36600018,224.4990003,9,2,74.366,224.688,0,-0.19,
9,3,68.68400002,369.0730002,9,3,68.684,369.273,0,-0.2,
9,4,57.72600031,740.8830001,9,4,57.726,741.033,0,-0.15,
10,1,53.83200002,221.4559999,10,1,53.834,221.688,0,-0.23,
10,2,34.92599988,364.5079999,10,2,34.926,364.646,0,-0.14,
10,3,65.02400017,535.5400002,10,3,65.024,535.703,0,-0.16,
10,4,114.8210003,418.0570002,10,4,114.824,418.201,0,-0.14,
12,1,64.47099996,318.207,12,1,64.471,318.357,0,-0.15,
12,2,56.4909997,370.562,12,2,56.513,370.742,-0.02,-0.18,
12,3,76.89500022,536.8200002,12,3,76.895,537.129,0,-0.31,
12,4,45.7820003,389.0229998,12,4,45.782,389.297,0,-0.27,
13,1,34.67299986,220.1920002,13,1,34.673,220.307,0,-0.11,
13,2,22.5539999,223.0979998,13,2,22.554,223.195,0,-0.1,
13,3,39.17200041,223.8569999,13,3,39.172,224.079,0,-0.22,
13,4,22.17299962,454.5369997,13,4,22.173,454.685,0,-0.15,
15,1,21.24600005,294.6059997,15,1,21.246,294.772,0,-0.17,
15,2,110.6569996,275.1600001,15,2,110.689,275.443,-0.03,-0.28,
15,3,77.86300015,534.8260002,15,3,77.865,535.115,0,-0.29,
15,4,59.14499998,859.553,15,4,59.145,859.797,0,-0.24,
16,1,62.60599995,271.4619999,16,1,62.606,271.827,0,-0.37,
16,2,36.55600023,459.1680002,16,2,36.556,459.502,0,-0.33,
16,3,47.03499985,303.5200002,16,3,47.041,303.743,-0.01,-0.22,
16,4,59.26799989,651.2369995,16,4,59.269,651.518,0,-0.28,
17,1,64.75399971,346.95,17,1,64.754,347.352,0,-0.4,
17,2,59.9599998,366.5569999,17,2,59.961,366.946,0,-0.39,
17,3,84.92599988,544.6099999,17,3,252.944,377.617,-168.02,166.99,226
17,4,50.6789999,352.2120001,17,4,50.679,352.778,0,-0.57,
18,1,32.1880002,274.177,18,1,32.188,274.448,0,-0.27,
18,2,50.31800008,406.9429998,18,2,50.319,407.259,0,-0.32,
18,3,52.14099979,346.7309997,18,3,52.143,347.007,0,-0.28,
18,4,18.00199986,223.7849998,18,4,18.002,224.177,0,-0.39,
19,1,34.81799984,268.8830001,19,1,34.818,269.016,0,-0.13,
19,2,17.27699995,217.237,19,2,17.277,217.403,0,-0.17,
19,3,74.78599977,290.2520003,19,3,74.786,290.486,0,-0.23,
19,4,21.46399999,284.3710001,19,4,21.464,284.604,0,-0.23,
20,1,72.1159997,276.7239997,20,1,72.116,276.86,0,-0.14,
20,2,160.7620001,119.6169996,20,2,160.802,119.816,-0.04,-0.2,
20,3,123.569,86.47000003,20,3,123.569,86.637,0,-0.17,
20,4,46.77200007,356.6279998,20,4,46.772,356.817,0,-0.19,
21,1,39.71199989,321.75,21,1,39.712,321.933,0,-0.18,
21,2,17.34599996,525.309,21,2,17.346,525.516,0,-0.21,
21,3,27.88100028,438.1659999,21,3,27.881,438.409,0,-0.24,
21,4,11.73799968,249.0689995,21,4,11.738,249.225,0,-0.16,
22,1,89.53499985,400.4020004,22,1,89.535,400.811,0,-0.41,
