,Unnamed: 0.1,Unnamed: 0,DateTime,posX,posZ,taskState,mapInteractions,participant,scenario,routename,trajectory_Id,segment_name
0,0,0,2023-09-21 16:44:31.485,-1250.0,-908.9736,setNavigationTarget:Coop,,8,1,w_to_Coop,1,h61
1,1,1,2023-09-21 16:44:31.486,-1250.0,-908.9736,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,8,1,w_to_Coop,1,h61
2,2,2,2023-09-21 16:44:31.507,-1250.0,-908.9736,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Coop,8,1,w_to_Coop,1,h61
3,3,3,2023-09-21 16:44:31.535,-1250.0,-908.9736,,mapLog:zoom+363.3247+rotationXYZ+90+0.2844462+0,8,1,w_to_Coop,1,h61
4,4,4,2023-09-21 16:44:31.561,-1250.0,-908.9736,,mapLog:positionXYZ+-1260.306+100+-908.9736,8,1,w_to_Coop,1,h61
5,5,5,2023-09-21 16:44:31.562,-1250.0,-908.9736,,,8,1,w_to_Coop,1,h61
6,6,6,2023-09-21 16:44:32.069,-1250.0,-908.9736,,,8,1,w_to_Coop,1,h61
7,7,7,2023-09-21 16:44:32.597,-1250.0,-908.9736,,,8,1,w_to_Coop,1,h61
8,8,8,2023-09-21 16:44:33.108,-1250.0,-909.9595,,,8,1,w_to_Coop,1,h61
9,9,9,2023-09-21 16:44:33.638,-1250.0,-911.4913,,,8,1,w_to_Coop,1,h61
10,10,10,2023-09-21 16:44:34.162,-1250.0,-913.0746,,,8,1,w_to_Coop,1,h61
11,11,11,2023-09-21 16:44:34.689,-1250.0,-914.6298,,,8,1,w_to_Coop,1,h61
12,12,12,2023-09-21 16:44:35.198,-1250.0,-916.155,,,8,1,w_to_Coop,1,h61
13,13,13,2023-09-21 16:44:35.709,-1250.0,-917.3549,,,8,1,w_to_Coop,1,h61
14,14,14,2023-09-21 16:44:36.226,-1250.0,-917.324,,,8,1,w_to_Coop,1,h61
15,15,15,2023-09-21 16:44:36.746,-1250.0,-916.5425,,,8,1,w_to_Coop,1,h61
16,16,16,2023-09-21 16:44:37.275,-1250.0,-915.9503,,,8,1,w_to_Coop,1,h61
17,17,17,2023-09-21 16:44:37.778,-1250.0,-915.2919,,,8,1,w_to_Coop,1,h61
18,18,18,2023-09-21 16:44:38.300,-1250.0,-914.5553,,,8,1,w_to_Coop,1,h61
19,19,19,2023-09-21 16:44:38.807,-1250.0,-913.9131,,,8,1,w_to_Coop,1,h61
20,20,20,2023-09-21 16:44:39.318,-1250.0,-913.3873,,,8,1,w_to_Coop,1,h61
21,21,21,2023-09-21 16:44:39.852,-1250.0,-913.0503,,,8,1,w_to_Coop,1,h61
22,22,22,2023-09-21 16:44:40.363,-1250.0,-912.9661,,,8,1,w_to_Coop,1,h61
23,23,23,2023-09-21 16:44:40.872,-1250.0,-912.9097,,,8,1,w_to_Coop,1,h61
24,24,24,2023-09-21 16:44:41.374,-1250.0,-912.8865,,,8,1,w_to_Coop,1,h61
25,25,25,2023-09-21 16:44:41.862,-1250.0,-912.8865,,mapLog:isScreenLocked+True,8,1,w_to_Coop,1,h61
26,26,26,2023-09-21 16:44:41.896,-1250.0,-912.8865,,,8,1,w_to_Coop,1,h61
27,27,27,2023-09-21 16:44:42.413,-1250.0,-912.8866,,,8,1,w_to_Coop,1,h61
28,28,28,2023-09-21 16:44:42.933,-1250.0,-912.8866,,,8,1,w_to_Coop,1,h61
29,29,29,2023-09-21 16:44:43.446,-1250.0,-912.8868,,,8,1,w_to_Coop,1,h61
30,30,30,2023-09-21 16:44:43.958,-1250.0,-912.9199,,,8,1,w_to_Coop,1,h61
31,31,31,2023-09-21 16:44:44.481,-1250.0,-912.942,,,8,1,w_to_Coop,1,h61
32,32,32,2023-09-21 16:44:45.009,-1250.0,-912.942,,,8,1,w_to_Coop,1,h61
33,33,33,2023-09-21 16:44:45.533,-1250.0,-912.9519,,,8,1,w_to_Coop,1,h61
34,34,34,2023-09-21 16:44:46.053,-1250.0,-912.9706,,,8,1,w_to_Coop,1,h61
