,participant,scenario,taskId,planning_distance,navigating_distance,numScreenLockEvents
1,8,1,1,27.11,144.6,2
2,8,1,2,27.61,309.87,3
3,8,1,3,43.4,253.34,6
4,8,1,4,0,189.42,6
6,8,2,1,1.82,559.04,8
7,8,2,2,2.17,113.17,1
8,8,2,3,2.39,198.05,4
9,8,2,4,4.15,73.31,1
11,8,3,1,11.96,222.9,3
12,8,3,2,0.06,172.23,3
13,8,3,3,1.87,70.19,1
14,8,3,4,0.77,101.56,1
16,8,4,1,0.3,71.08,2
17,8,4,2,0.54,336.47,9
18,8,4,3,11.57,300.15,6
19,8,4,4,0,248.09,3
21,9,1,1,0.4,213.3,5
22,9,1,2,12.7,240.58,3
23,9,1,3,0.13,83.71,1
,9,1,4,26.17,0.2,0
26,9,2,1,0,281.62,7
27,9,2,2,7.05,153.45,3
28,9,2,3,0,81.59,1
29,9,2,4,0,43.51,1
31,9,3,1,1.25,140.91,1
32,9,3,2,0,159.84,2
33,9,3,3,0,212.18,8
34,9,3,4,0,56.31,1
36,9,4,1,2.62,234.84,5
37,9,4,2,1.48,494.76,17
38,9,4,3,0.51,209.03,3
39,9,4,4,3.84,171.69,2
41,10,1,1,0,298.47,10
42,10,1,2,0,175.18,4
43,10,1,3,3.94,54.43,1
44,10,1,4,76.81,7.12,0
46,10,2,1,0.05,257.06,7
47,10,2,2,0.13,152.44,5
48,10,2,3,0.06,156.68,4
49,10,2,4,0.21,320.07,11
51,10,3,1,0.17,159.3,4
52,10,3,2,12.2,297.52,11
53,10,3,3,0,86.23,4
54,10,3,4,0.56,442.29,17
56,10,4,1,9.51,185.02,4
57,10,4,2,154.44,308.37,10
58,10,4,3,2.76,263.07,8
59,10,4,4,21.56,234.88,6
61,12,1,1,0,76.08,2
62,12,1,2,0,201.39,6
63,12,1,3,0,185.11,5
64,12,1,4,0,240.73,3
66,12,2,1,0,307.59,5
67,12,2,2,0.15,247.67,5
68,12,2,3,7.63,38.35,1
69,12,2,4,0.17,344.57,9
71,12,3,1,0.34,231.53,4
72,12,3,2,0.04,280.23,5
73,12,3,3,0,201.28,5
74,12,3,4,1.78,183.05,5
76,12,4,1,0.05,149.05,5
77,12,4,2,0,125.24,5
78,12,4,3,0.93,216.01,2
79,12,4,4,0.04,177.94,7
81,13,1,1,0,63.27,2
82,13,1,2,0.63,229.77,7
83,13,1,3,0,115.24,3
84,13,1,4,0,183.17,5
86,13,2,1,0.03,238.08,7
87,13,2,2,0.3,76.2,3
88,13,2,3,0.03,139.66,4
89,13,2,4,0,126.01,3
91,13,3,1,0,167.88,4
92,13,3,2,0.34,102.11,3
93,13,3,3,0.03,60.2,2
94,13,3,4,0.07,156.79,4
96,13,4,1,3.99,185.98,4
97,13,4,2,2.84,312.3,9
98,13,4,3,0.5,387.42,12
99,13,4,4,2.64,176.07,5
101,15,1,1,0,115.46,5
102,15,1,2,0,122.51,4
103,15,1,3,0,237.35,6
104,15,1,4,4.48,144.11,2
106,15,2,1,0.37,362.68,9
107,15,2,2,165.44,3.36,0
108,15,2,3,42.7,72.4,2
109,15,2,4,21.43,286.94,4
111,15,3,1,2.16,235.96,3
112,15,3,2,0,310.51,12
113,15,3,3,2.66,80.79,4
114,15,3,4,9.11,360.31,5
116,15,4,1,17.14,298.37,6
117,15,4,2,17.26,739.98,17
118,15,4,3,3.1,255.09,13
119,15,4,4,0,264.56,10
121,16,1,1,2.47,207.13,8
122,16,1,2,0.88,215.66,5
123,16,1,3,0.03,117.89,4
124,16,1,4,0.25,21.64,1
126,16,2,1,0,281.37,9
127,16,2,2,5.72,188.09,4
128,16,2,3,0,153.24,5
129,16,2,4,0,264.45,9
131,16,3,1,0.3,158.15,4
132,16,3,2,0,100.61,6
133,16,3,3,0.22,63.55,2
134,16,3,4,1.15,186.46,7
136,16,4,1,0.04,73.2,3
137,16,4,2,0.37,325.93,17
138,16,4,3,0,227.69,12
139,16,4,4,0,172.05,7
141,17,1,1,0.5,139.03,5
142,17,1,2,0,369.66,10
