,event_number,participant,trajectory_Id,traffic_density,map_type,total_inactive_time,state
0,1,8,1,0,0,5.229000000000001,1
1,2,8,1,0,0,35.79400000000002,1
2,3,8,2,0,0,15.788,1
3,4,8,2,0,0,52.183000000000014,1
4,5,8,2,0,0,39.229,1
5,6,8,3,0,0,1.028,1
6,7,8,3,0,0,0.97,1
7,8,8,3,0,0,9.828,1
8,9,8,3,0,0,7.260999999999999,1
9,10,8,3,0,0,8.304,1
10,11,8,3,0,0,10.242,1
11,12,8,4,0,0,15.612999999999998,1
12,13,8,4,0,0,20.103000000000005,1
13,14,8,4,0,0,0.893,1
14,15,8,4,0,0,20.945,1
15,16,8,4,0,0,1.045,1
16,17,8,4,0,0,1.358,1
17,18,8,5,0,1,6.906000000000001,1
18,19,8,5,0,1,24.421,1
19,20,8,5,0,1,1.111,1
20,21,8,5,0,1,1.823,1
21,22,8,5,0,1,21.743000000000002,1
22,23,8,5,0,1,40.808000000000014,1
23,24,8,5,0,1,11.203,1
24,25,8,5,0,1,1.939,1
25,26,8,6,0,1,26.722999999999995,1
26,27,8,7,0,1,3.1799999999999997,1
27,28,8,7,0,1,7.164000000000001,1
28,29,8,7,0,1,27.285999999999994,1
29,30,8,7,0,1,2.1290000000000004,1
30,31,8,8,0,1,29.346,1
31,32,8,9,1,0,3.6240000000000006,1
32,33,8,9,1,0,19.514000000000006,1
33,34,8,9,1,0,32.768,1
34,35,8,10,1,0,19.154,1
35,36,8,10,1,0,8.492,1
36,37,8,10,1,0,9.574000000000002,1
37,38,8,11,1,0,22.53100000000001,1
38,39,8,12,1,0,30.933,1
39,40,8,13,1,1,0.7989999999999999,1
40,41,8,13,1,1,17.049999999999997,1
41,42,8,14,1,1,0.682,1
42,43,8,14,1,1,1.064,1
43,44,8,14,1,1,13.861000000000002,1
44,45,8,14,1,1,0.8130000000000001,1
45,46,8,14,1,1,13.812000000000001,1
46,47,8,14,1,1,76.87900000000002,1
47,48,8,14,1,1,0.559,1
48,49,8,14,1,1,0.531,1
49,50,8,14,1,1,12.966999999999999,1
50,51,8,15,1,1,1.282,1
51,52,8,15,1,1,1.311,1
52,53,8,15,1,1,26.806999999999995,1
53,54,8,15,1,1,20.897000000000006,1
54,55,8,15,1,1,0.9850000000000001,1
55,56,8,15,1,1,14.376000000000001,1
56,57,8,16,1,1,3.1769999999999996,1
57,58,8,16,1,1,37.224000000000004,1
58,59,8,16,1,1,84.96000000000008,1
59,60,9,17,0,0,0.913,1
60,61,9,17,0,0,0.892,1
61,62,9,17,0,0,1.528,1
62,63,9,17,0,0,2.924,1
63,64,9,17,0,0,25.398999999999997,1
64,65,9,18,0,0,23.440999999999995,1
65,66,9,18,0,0,7.005999999999999,1
66,67,9,18,0,0,22.071000000000005,1
67,68,9,19,0,0,20.641,1
68,69,9,21,0,1,0.881,1
69,70,9,21,0,1,0.738,1
70,71,9,21,0,1,1.381,1
71,72,9,21,0,1,3.1740000000000004,1
72,73,9,21,0,1,5.843,1
73,74,9,21,0,1,8.579,1
74,75,9,21,0,1,19.846000000000004,1
75,76,9,22,0,1,4.111000000000001,1
76,77,9,22,0,1,10.903000000000002,1
77,78,9,22,0,1,8.642999999999999,1
78,79,9,23,0,1,20.030000000000005,1
79,80,9,24,0,1,6.113,1
80,81,9,25,1,0,60.09799999999999,1
81,82,9,26,1,0,15.808000000000003,1
82,83,9,26,1,0,50.111000000000004,1
83,84,9,27,1,0,3.9400000000000004,1
84,85,9,27,1,0,4.969,1
85,86,9,27,1,0,18.898000000000007,1
86,87,9,27,1,0,5.575,1
87,88,9,27,1,0,4.4,1
88,89,9,27,1,0,6.36,1
89,90,9,27,1,0,7.578000000000001,1
90,91,9,27,1,0,3.9350000000000005,1
91,92,9,28,1,0,34.25500000000001,1
92,93,9,29,1,1,1.529,1
93,94,9,29,1,1,61.816000000000024,1
94,95,9,29,1,1,0.916,1
95,96,9,29,1,1,25.774999999999995,1
96,97,9,29,1,1,25.382000000000005,1
97,98,9,30,1,1,2.353,1
