,Unnamed: 0,DateTime,posX,posY,posZ,rotX,rotY,rotZ,taskState,mapInteractions,participant,scenario,start_point,state,phase,routename,taskId,lockscreen
222006,222006,2023-09-21 16:43:06.286,-1260.3,1.304999,-937.0044,0,0.0,0,,,8,1,w,,,,0.0,0
222007,222007,2023-09-21 16:43:06.756,-1260.3,1.304999,-937.8318,0,0.0,0,,,8,1,w,,,,0.0,0
222008,222008,2023-09-21 16:43:07.277,-1260.3,1.304999,-938.7865,0,0.0,0,,,8,1,w,,,,0.0,0
222009,222009,2023-09-21 16:43:07.783,-1260.3,1.304999,-938.7759,0,0.0,0,,,8,1,w,,,,0.0,0
222010,222010,2023-09-21 16:43:08.298,-1260.3,1.304999,-938.201,0,0.0,0,,,8,1,w,,,,0.0,0
222011,222011,2023-09-21 16:43:08.826,-1260.3,1.304999,-937.8209,0,0.0,0,,,8,1,w,,,,0.0,0
222012,222012,2023-09-21 16:43:09.076,-1260.3,1.304999,-937.8209,0,0.0,0,,mapLog:isScreenLocked+False,8,1,w,,,,0.0,0
222013,222013,2023-09-21 16:43:09.108,-1260.3,1.304999,-937.8209,0,0.0,0,,mapLog:positionXYZ+-560+100+-864,8,1,w,,,,0.0,0
222014,222014,2023-09-21 16:43:09.356,-1260.3,1.304999,-937.6664,0,0.0,0,,,8,1,w,,,,0.0,0
222015,222015,2023-09-21 16:43:09.878,-1260.3,1.304999,-936.6099,0,0.0,0,,,8,1,w,,,,0.0,0
222016,222016,2023-09-21 16:43:10.400,-1260.3,1.304999,-935.9972,0,0.0,0,,,8,1,w,,,,0.0,0
222017,222017,2023-09-21 16:43:10.922,-1260.3,1.304999,-935.9972,0,0.0,0,,,8,1,w,,,,0.0,0
222018,222018,2023-09-21 16:43:11.445,-1260.3,1.304999,-935.9972,0,0.0,0,,,8,1,w,,,,0.0,0
222019,222019,2023-09-21 16:43:11.968,-1260.3,1.304999,-935.9972,0,0.0,0,,,8,1,w,,,,0.0,0
222020,222020,2023-09-21 16:43:12.492,-1260.3,1.304999,-936.1244,0,0.0,0,,,8,1,w,,,,0.0,0
222021,222021,2023-09-21 16:43:13.016,-1260.3,1.304999,-936.1244,0,0.0,0,,,8,1,w,,,,0.0,0
222022,222022,2023-09-21 16:43:13.538,-1260.3,1.304999,-936.1244,0,0.0,0,,,8,1,w,,,,0.0,0
222023,222023,2023-09-21 16:43:14.062,-1260.3,1.304999,-936.1244,0,0.0,0,,,8,1,w,,,,0.0,0
222024,222024,2023-09-21 16:43:14.585,-1260.3,1.304999,-936.0793,0,0.0,0,,,8,1,w,,,,0.0,0
222025,222025,2023-09-21 16:43:15.108,-1260.3,1.304999,-936.0793,0,0.0,0,,,8,1,w,,,,0.0,0
222026,222026,2023-09-21 16:43:15.633,-1260.3,1.304999,-936.0793,0,0.5099997,0,,,8,1,w,,,,0.0,0
222027,222027,2023-09-21 16:43:16.155,-1260.3,1.304999,-936.0793,0,0.5099997,0,,,8,1,w,,,,0.0,0
222028,222028,2023-09-21 16:43:16.678,-1260.3,1.304999,-936.0793,0,0.5099997,0,,,8,1,w,,,,0.0,0
