id,total_task_phase_time,total_task_deactive_time_map,Percentage of screenlocked time,sbsod_score,gender,age,frequency of map using per week
47,1133.728,319.098,0.281459045,4.133333333,Female,18-24,2-4 times a week
31,1887.483001,879.8220007,0.466135059,4.6,Male,18-24,2-4 times a week
33,1573.807,808.039,0.513429537,5.266666667,Male,18-24,2-4 times a week
46,1480.891,966.9119995,0.65292584,6,Male,18-24,2-4 times a week
54,1430.804,560.4339993,0.391691664,5,Male,18-24,2-4 times a week
9,1903.508001,871.1119981,0.45763506,5.266666667,Female,25-34,2-4 times a week
30,1744.392999,541.9390001,0.310674831,5.4,Female,25-34,2-4 times a week
34,1797.363001,729.3860004,0.405808955,5.266666667,Female,25-34,2-4 times a week
36,1396.995,376.9070001,0.269798389,4.266666667,Female,25-34,2-4 times a week
58,1202.898,724.3790011,0.602194867,4.133333333,Female,25-34,2-4 times a week
62,2063.279,273.915,0.132757131,4.2,Female,25-34,2-4 times a week
29,1658.408,853.6690004,0.5147521,5,Male,25-34,2-4 times a week
42,1146.558,644.5480011,0.562159089,3.733333333,Male,25-34,2-4 times a week
48,1496.414,964.2200005,0.644353769,4.866666667,Male,25-34,2-4 times a week
50,1362.032001,805.2279999,0.591196095,4.733333333,Male,25-34,2-4 times a week
60,1907.434,1069.132,0.560507991,4.733333333,Female,18-24,Maximum once per week
40,1340.283,575.2969997,0.429235467,5.333333333,Male,18-24,Maximum once per week
19,1209.088,460.7990005,0.381112872,3.533333333,Male,25-34,Maximum once per week
12,1858.251,569.8649995,0.306667398,3.733333333,Female,18-24,More than 4 times a week
17,1870.647999,360.3860002,0.192653027,4.6,Female,18-24,More than 4 times a week
37,2660.024999,963.4919994,0.362211633,2.666666667,Female,18-24,More than 4 times a week
39,1574.288001,754.0139999,0.478955566,4.266666667,Female,18-24,More than 4 times a week
41,1733.729,903.6020005,0.521189875,5,Female,18-24,More than 4 times a week
44,1440.404,341.1869988,0.236868961,4.533333333,Female,18-24,More than 4 times a week
49,1454.031001,901.8090005,0.620213049,3.533333333,Female,18-24,More than 4 times a week
52,1574.250001,730.7559998,0.464193107,3.866666667,Female,18-24,More than 4 times a week
53,1587.243999,313.2800007,0.197373561,3.133333333,Female,18-24,More than 4 times a week
57,1726.584,372.3420022,0.215652411,5.6,Female,18-24,More than 4 times a week
59,1715.599,424.7399998,0.247575336,4.6,Female,18-24,More than 4 times a week
63,1393.013,348.479001,0.25016206,4.066666667,Female,18-24,More than 4 times a week
13,1240.255999,155.0430007,0.12500887,4.2,Male,18-24,More than 4 times a week
32,1536.435,434.4760005,0.282781895,4.266666667,Male,18-24,More than 4 times a week
35,1214.424001,377.6110008,0.310938355,6.733333333,Male,18-24,More than 4 times a week
45,1416.163,683.325,0.482518608,5.733333333,Male,18-24,More than 4 times a week
8,1928.066999,925.9309988,0.480237979,2.4,Female,25-34,More than 4 times a week
10,1808.164001,346.2940011,0.19151692,2.333333333,Female,25-34,More than 4 times a week
16,1890.852,447.1310012,0.23647065,1.8,Female,25-34,More than 4 times a week
18,1404.284999,689.5870006,0.491059152,5.2,Female,25-34,More than 4 times a week
20,1242.657999,514.0350003,0.41365766,2.733333333,Female,25-34,More than 4 times a week
24,1557.849,1020.074,0.654796453,5.266666667,Female,25-34,More than 4 times a week
26,1772.385,366.9349992,0.207028946,2.8,Female,25-34,More than 4 times a week
38,2571.996,313.8199995,0.122014186,2.133333333,Female,25-34,More than 4 times a week
43,1528.625,588.0490005,0.384691471,5.4,Female,25-34,More than 4 times a week
51,2058.29,1247.864001,0.60626248,4.666666667,Female,25-34,More than 4 times a week
55,1779.179,707.6749995,0.397753683,4.666666667,Female,25-34,More than 4 times a week
56,1162.124999,727.1399996,0.625698613,6.133333333,Female,25-34,More than 4 times a week
15,2233.056,729.4609997,0.326664893,3.4,Male,25-34,More than 4 times a week
21,1630.970999,754.0179996,0.462312328,5.666666667,Male,25-34,More than 4 times a week
23,1665.781,537.5880015,0.322724297,5.4,Male,25-34,More than 4 times a week
25,1401.86,845.5110004,0.603135121,5.2,Male,25-34,More than 4 times a week
28,1151.903,650.536,0.564748941,5.333333333,Male,25-34,More than 4 times a week
61,1395.721999,437.3849988,0.313375442,5.2,Male,25-34,More than 4 times a week
22,1665.118001,742.2120006,0.445741383,4.933333333,Female,35-44,More than 4 times a week
27,1069.374999,615.5539999,0.57562034,5.733333333,Male,35-44,More than 4 times a week
