trajectory_Id,half,total_active_time,total_inactive_time
1,first,19.739,12.222
1,second,0.0,32.962
2,first,20.417,49.462
2,second,9.969,62.918
3,first,38.876,11.826
3,second,27.524,28.695
4,first,32.628,36.609
4,second,46.842,23.348
5,first,49.377,45.239000000000004
5,second,29.929000000000002,66.345
6,first,9.694,9.85
6,second,0.0,20.621
7,first,29.661,10.344
7,second,9.688,31.848
8,first,10.285,9.729000000000001
8,second,0.0,21.201
9,first,19.792,23.138
9,second,9.609,36.906
10,first,19.985,19.154
10,second,17.09,20.879
11,first,10.336,6.9110000000000005
11,second,0.0,17.72
12,first,10.187000000000001,11.133000000000001
12,second,0.0,22.45
13,first,19.096,0.7989999999999999
13,second,1.054,20.361
14,first,58.184000000000005,43.269000000000005
14,second,29.017,80.59100000000001
15,first,40.035000000000004,29.400000000000002
15,second,34.373000000000005,36.258
16,first,29.325,48.174
16,second,0.0,80.98700000000001
17,first,36.597,3.333
17,second,12.941,30.761
18,first,22.002,23.441
18,second,14.681000000000001,31.421
19,first,10.236,5.546
19,second,0.0,17.123
20,first,1.516,0.0
20,second,2.37,0.0
21,first,49.671,6.174
21,second,20.076,37.793
22,first,19.435000000000002,8.836
22,second,11.994,16.821
23,first,9.83,5.189
23,second,0.0,16.763
24,first,8.764,0.0
24,second,1.525,7.198
25,first,10.051,25.809
25,second,0.0,36.368
28,first,10.341000000000001,12.754000000000001
28,second,0.0,23.097
29,first,23.249000000000002,63.345000000000006
29,second,30.953,53.722
30,first,98.20700000000001,75.173
30,second,88.863,101.385
31,first,31.740000000000002,20.586000000000002
31,second,0.0,60.204
32,first,14.036,24.274
32,second,9.755,30.264
33,first,53.145,11.637
33,second,56.572,8.276
34,first,27.41,1.683
34,second,16.042,13.647
35,first,10.428,0.0
35,second,0.0,9.781
36,first,1.5670000000000002,0.0
36,second,2.287,0.0
37,first,39.219,13.896
37,second,40.854,7.866
38,first,27.788,3.143
38,second,24.585,7.9
39,first,24.347,0.43999999999999995
39,second,21.304000000000002,7.706
40,first,58.714,7.5600000000000005
40,second,55.707,10.856
42,first,59.894000000000005,18.261
42,second,56.643,20.771
43,first,22.242,2.561
43,second,17.532,8.904
44,first,98.676,23.437
44,second,104.28,12.285
45,first,29.891000000000002,4.2620000000000005
45,second,21.028000000000002,15.765
46,first,49.668,14.152000000000001
46,second,50.004000000000005,13.790000000000001
47,first,39.188,18.07
47,second,43.969,8.279
48,first,37.464,8.938
48,second,32.502,14.638
49,first,19.391000000000002,0.818
49,second,8.558,13.118
50,first,34.948,10.378
50,second,36.684,6.035
51,first,37.403,5.295
51,second,16.126,30.625
52,first,35.301,6.561
52,second,47.506,0.0
53,first,56.176,4.26
53,second,29.822,29.805
54,first,32.967,8.139
54,second,34.944,7.3790000000000004
55,first,6.878,0.0
55,second,5.6290000000000004,4.841
56,first,49.343,20.544
56,second,43.256,26.203
57,first,48.925000000000004,21.257
57,second,53.77,2.43
58,first,38.764,51.645
58,second,14.692,77.892
59,first,39.238,8.656
59,second,9.914,45.594
60,first,20.041,36.482
60,second,29.245,26.461000000000002
61,first,31.122,12.524
61,second,18.395,28.919
62,first,34.651,10.274000000000001
62,second,23.876,23.072
63,first,26.719,15.298
63,second,46.992000000000004,0.0
64,first,38.417,15.110000000000001
64,second,40.193,12.861
65,first,9.703,1.073
65,second,9.614,1.867
66,first,43.160000000000004,1.699
66,second,39.571,2.45
67,first,19.795,0.638
67,second,17.967,1.548
68,first,29.988,1.6549999999999998
68,second,28.92,1.481
69,first,38.067,2.677
69,second,35.796,4.476
70,first,18.153,0.16
70,second,15.492,2.059
71,first,24.453,0.44
71,second,25.04,1.818
73,first,20.069,18.676000000000002
73,second,29.689,7.666
75,first,12.619,0.744
75,second,12.952,0.856
77,first,31.517,1.431
77,second,32.353,1.201
78,first,53.427,4.661
78,second,50.225,13.222
80,first,26.889,8.64
80,second,29.707,4.128
81,first,29.688000000000002,9.997
81,second,30.862000000000002,8.806000000000001
82,first,27.197,1.371
82,second,12.468,17.975
83,first,30.219,18.745
83,second,29.758,18.747
84,first,10.295,16.175
84,second,10.022,15.752
85,first,62.554,3.8840000000000003
85,second,32.906,39.196
86,first,1.266,0.0
86,second,1.537,0.0
87,first,10.169,1.139
87,second,9.97,1.902
89,first,16.631,52.016
89,second,28.447000000000003,36.164
91,first,23.573,2.552
91,second,15.732000000000001,11.338000000000001
92,first,25.634,55.117000000000004
92,second,49.991,27.621000000000002
93,first,31.664,44.335
93,second,29.049,46.0
97,first,40.815,11.897
97,second,48.261,3.915
98,first,42.151,0.6359999999999999
98,second,19.942,27.212
99,first,21.502000000000002,3.448
99,second,17.455000000000002,8.746
100,first,8.451,0.0
100,second,2.564,5.852
101,first,51.355000000000004,7.001
101,second,37.487,24.273
102,first,26.393,10.496
102,second,20.728,16.806
104,first,60.519,7.005
104,second,36.29,36.197
105,first,19.406000000000002,18.477
105,second,19.673000000000002,18.411
107,first,13.018,3.49
