,Unnamed: 0.1,Unnamed: 0,DateTime,posX,posY,posZ,rotX,rotY,rotZ,taskState,mapInteractions,participant,scenario,start_point,state,phase,routename,taskId,planning_distance,navigation_distance,navigating_distance,cumulativeDistance
41,159,159,2023-09-22 15:02:50.036,-596.4622,1.155,-525.9709,0,225.3121,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,1.3428098189990314,18.625300141193318
66,184,184,2023-09-22 15:03:01.079,-609.9817,1.305,-555.4648,0,185.2499,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,0.2697982950279622,51.728787774598445
90,208,208,2023-09-22 15:03:12.529,-611.5901,1.304999,-582.6856,0,208.8695,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,1.22056644227179,79.49238102155269
116,234,234,2023-09-22 15:03:24.022,-633.3285,1.304999,-598.2454,0,239.306,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,0.2402380486101238,106.56021917128167
141,259,259,2023-09-22 15:03:35.474,-646.8471,1.304999,-617.6857,0,187.9738,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,0.4474165955795008,131.2776771136572
167,285,285,2023-09-22 15:03:47.842,-647.1002,1.305,-650.4045,0,158.554,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,1.217747137134758,164.39425953174307
194,312,312,2023-09-22 15:03:59.953,-622.9351,1.304999,-676.0321,0,111.7548,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,0.2802892969772321,200.65310377293747
221,339,339,2023-09-22 15:04:12.440,-611.9946,1.305,-692.4465,0,183.6752,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,0.584092201625729,222.94159323260791
246,364,364,2023-09-22 15:04:23.868,-614.8488,1.305,-718.7622,0,223.1535,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,0.5858288572612266,249.6486456118196
274,392,392,2023-09-22 15:04:36.432,-642.5121,1.305,-720.4347,0,277.9185,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coop,1.0,0.0,0.0,0.4982755964323449,278.0493732690434
326,477,477,2023-09-22 15:05:11.111,-693.1126,1.305,-720.1526,0,266.934,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Factory museum,2.0,0.0,0.0,0.1200706875136763,30.530519448406327
351,502,502,2023-09-22 15:05:22.330,-726.2435,1.305,-721.3711,0,266.934,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Factory museum,2.0,0.0,0.0,0.2099935713301668,63.81156120373138
394,545,545,2023-09-22 15:05:43.214,-782.7231,1.304999,-722.2142,0,285.8623,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Factory museum,2.0,0.0,0.0,1.110137095137418,121.19121175909537
424,575,575,2023-09-22 15:05:57.074,-823.7261,1.410844,-715.838,0,270.3229,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Factory museum,2.0,0.0,0.0,1.1090000991884024,162.75047435066344
479,654,654,2023-09-22 15:06:28.753,-823.5748,1.305,-744.8018,0,104.1702,0,,mapLog:isScreenLocked+False,10,1,n,,navigation,n_to_Coffee Corner,3.0,0.0,0.0,0.467756945432124,52.50278680312109
529,924,924,2023-09-22 14:33:30.677,49.56255,1.155,-934.2759,0,281.3101,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Cafécity,1.0,0.0,0.0,0.3052651183807298,21.395643571751037
572,967,967,2023-09-22 14:33:51.335,6.841705,1.304999,-945.051,0,273.2891,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Cafécity,1.0,0.0,0.0,0.0510718124311231,65.9942443304119
596,991,991,2023-09-22 14:34:02.143,-22.22934,1.304999,-943.4465,0,273.2891,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Cafécity,1.0,0.0,0.0,0.0898636906653632,95.10954994994678
621,1016,1016,2023-09-22 14:34:13.527,-37.86337,1.304999,-959.4159,0,179.1371,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Cafécity,1.0,0.0,0.0,0.4141564868500415,122.07442057972344
669,1064,1064,2023-09-22 14:34:34.106,-39.55894,1.304999,-1015.064,0,222.6977,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Cafécity,1.0,0.0,0.0,1.0525412809481065,178.41172332541072
696,1091,1091,2023-09-22 14:34:46.474,-72.90444,1.351468,-1019.539,0,268.9184,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Cafécity,1.0,0.0,0.0,1.198530764269313,212.8293605885198
721,1116,1116,2023-09-22 14:34:57.729,-105.68,1.305,-1020.221,0,268.9184,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Cafécity,1.0,0.0,0.0,0.6129599008091875,245.61202524993087
776,1203,1203,2023-09-22 14:35:30.675,-117.2026,1.155,-1035.635,0,100.2762,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Hotel Square,2.0,0.0,0.0,0.0409024449147052,20.147317660587024
800,1227,1227,2023-09-22 14:35:41.477,-89.27156,1.155,-1028.646,0,69.20219,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Hotel Square,2.0,0.0,0.0,0.6889189009600484,49.22974771946387
833,1260,1260,2023-09-22 14:35:56.619,-60.70799,1.304999,-1003.506,0,339.4471,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Hotel Square,2.0,0.0,0.0,0.1410534593691923,93.57687366848327
858,1285,1285,2023-09-22 14:36:07.940,-62.60974,1.305131,-979.7034,0,3.400945,0,,mapLog:isScreenLocked+False,10,2,e,,navigation,e_to_Hotel Square,2.0,0.0,0.0,0.6291486310881185,117.825256633884
