,Unnamed: 0,DateTime,posX,posY,posZ,rotX,rotY,rotZ,taskState,mapInteractions,participant,scenario,start_point,state,phase,routename,taskId,lockscreen,combination
753,753,2023-09-22 15:07:09.558,-747.2823,1.305,-721.9312,0,73.14524,0,setNavigationTarget:Panorama Restaurant,,10,1,n,start,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
754,754,2023-09-22 15:07:09.559,-747.2823,1.305,-721.9312,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
755,755,2023-09-22 15:07:09.589,-747.2693,1.305,-721.9271,0,73.14524,0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
756,756,2023-09-22 15:07:09.590,-747.2693,1.305,-721.9271,0,73.14524,0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Panorama Restaurant,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
757,757,2023-09-22 15:07:09.620,-747.2562,1.305,-721.9231,0,73.14524,0,,mapLog:positionXYZ+-746.3963+100.0102+-720.7421,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
758,758,2023-09-22 15:07:10.085,-747.0487,1.305,-721.8613,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
759,759,2023-09-22 15:07:10.608,-746.1649,1.305,-721.595,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
760,760,2023-09-22 15:07:11.125,-744.7019,1.305,-721.153,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
761,761,2023-09-22 15:07:11.644,-743.2102,1.305,-720.7023,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
762,762,2023-09-22 15:07:12.157,-741.7507,1.305,-720.2615,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
763,763,2023-09-22 15:07:12.672,-741.0325,1.305,-720.0452,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
764,764,2023-09-22 15:07:13.185,-740.6664,1.305,-719.9355,0,73.14524,0,,,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
765,765,2023-09-22 15:07:13.355,-740.521,1.305,-719.892,0,73.14524,0,,mapLog:positionXYZ+-740.6664+100.0102+-719.9355,10,1,n,,navigation,n_to_Panorama Restaurant,4.0,0,10_1_4.0
766,766,2023-09-22 15:07:13.412,-740.4697,1.305,-719.8766,0,73.14524,0,checkedIn:Panorama Restaurant,,10,1,n,end,navigation,,4.0,0,10_1_4.0
6574,6574,2023-09-25 11:45:42.590,-1166.493,1.30501,-829.1294,0,334.4201,0,setNavigationTarget:Kiosk,,12,2,w,start,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6575,6575,2023-09-25 11:45:42.591,-1166.493,1.30501,-829.1294,0,334.4201,0,,mapLog:MapButtonPoiClick+buttonOnFollowPlayer,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6576,6576,2023-09-25 11:45:42.612,-1166.494,1.30501,-829.1194,0,334.4201,0,,mapLog:MapButtonPoiClick+PoiClick_choseYES_Kiosk,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6577,6577,2023-09-25 11:45:42.634,-1166.495,1.30501,-829.1094,0,334.4201,0,,mapLog:positionXYZ+-1168.287+100.0292+-830.132,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6578,6578,2023-09-25 11:45:42.833,-1166.505,1.30501,-829.012,0,334.4201,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6579,6579,2023-09-25 11:45:43.340,-1166.531,1.30501,-828.7567,0,334.4201,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6580,6580,2023-09-25 11:45:43.362,-1166.532,1.30501,-828.7467,0,334.4201,0,,mapLog:positionXYZ+-1166.505+100.0292+-829.012,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6581,6581,2023-09-25 11:45:43.845,-1166.557,1.30501,-828.5077,0,334.4201,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6582,6582,2023-09-25 11:45:44.132,-1166.571,1.30501,-828.3695,0,334.4201,0,,mapLog:zoom+106.4353+rotationXYZ+90+338.2999+0,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6583,6583,2023-09-25 11:45:44.238,-1166.576,1.30501,-828.3258,0,334.4201,0,,mapLog:positionXYZ+-1204.625+100.0292+-831.6317,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
6584,6584,2023-09-25 11:45:44.350,-1166.58,1.30501,-828.2813,0,334.4201,0,,,12,2,w,,navigation,w_to_Kiosk,3.0,0,12_2_3.0
