,Unnamed: 0,participant,scenario,planning_time,navigation_time,planning_distance,navigating_distance,planning_stop,navigation_stop,planning_stop_time_seconds,navigation_stop_time_seconds,interaction_count,frequency_distance,frequency_time
0,0,8,1,121.195,461.721,98.12,897.23,10,23,55.66,60.02,991,1.0,1.7
1,1,8,2,44.069,359.893,10.54,943.56,6,14,30.32,6.07,765,0.8,1.89
2,2,8,3,58.031,248.46,14.66,566.87,15,11,11.22,2.43,515,0.89,1.68
3,3,8,4,72.901,562.603,12.41,955.78,15,40,47.86,61.92,1148,1.19,1.81
4,4,9,1,152.907,215.555,39.4,537.79,9,7,56.05,9.26,471,0.82,1.28
5,5,9,2,74.366,224.688,7.05,560.17,5,9,58.09,14.73,498,0.88,1.67
6,6,9,3,68.684,369.273,1.26,569.24,7,32,64.01,70.65,771,1.35,1.76
7,7,9,4,57.726,741.033,8.45,1110.32,16,52,21.68,76.0,1550,1.39,1.94
8,8,10,1,53.834,221.688,80.75,535.19,5,14,16.25,6.38,498,0.81,1.81
9,9,10,2,34.926,364.646,0.45,886.25,9,8,13.49,0.09,830,0.94,2.08
10,10,10,3,65.024,535.703,12.93,985.34,11,39,49.07,31.73,1166,1.17,1.94
11,11,10,4,114.824,418.201,188.28,991.34,15,17,6.72,2.3,899,0.76,1.69
12,12,12,1,64.471,318.357,0.0,703.31,4,15,64.47,34.47,703,1.0,1.84
13,13,12,2,56.513,370.742,7.96,938.19,15,16,22.12,16.39,836,0.88,1.96
14,14,12,3,76.895,537.129,2.16,896.09,8,43,69.97,60.51,1140,1.27,1.86
15,15,12,4,45.782,389.297,1.01,668.24,11,16,17.29,33.98,831,1.24,1.91
16,16,13,1,34.673,220.307,0.63,591.44,5,8,30.09,10.64,512,0.86,2.01
17,17,13,2,22.554,223.195,0.37,579.95,6,9,8.54,0.6,513,0.88,2.09
18,18,13,3,39.172,224.079,0.45,486.99,7,20,37.04,18.57,489,1.0,1.86
19,19,13,4,22.173,454.685,9.98,1061.78,10,24,0.56,13.3,1013,0.95,2.12
20,20,15,1,21.246,294.772,4.48,619.43,3,15,17.85,17.52,650,1.04,2.06
21,21,15,2,110.689,275.443,229.95,725.39,5,11,3.51,8.31,625,0.65,1.62
22,22,15,3,77.865,535.115,13.93,987.57,11,28,15.82,20.05,1132,1.13,1.85
23,23,15,4,59.145,859.797,37.5,1558.0,12,60,4.48,63.47,1829,1.15,1.99
24,24,16,1,62.606,271.827,3.63,562.32,12,8,13.86,1.92,613,1.08,1.83
25,25,16,2,36.556,459.502,5.72,887.15,4,29,27.71,75.12,1017,1.14,2.05
26,26,16,3,47.041,303.743,1.67,508.77,8,30,41.68,35.49,654,1.28,1.86
27,27,16,4,59.269,651.518,0.41,798.88,5,78,58.2,126.37,1427,1.79,2.01
28,28,17,1,64.754,347.352,0.52,767.82,8,19,43.39,33.94,777,1.01,1.89
29,29,17,2,59.961,366.946,1.89,725.94,4,24,48.52,38.99,821,1.13,1.92
30,30,17,3,252.944,377.617,227.0,761.98,19,31,108.94,34.12,834,0.84,1.32
31,31,17,4,50.679,352.778,2.03,847.93,6,30,8.98,8.27,749,0.88,1.86
32,32,18,1,32.188,274.448,0.0,646.12,4,14,32.19,44.78,601,0.93,1.96
33,33,18,2,50.319,407.259,0.47,1007.2,5,18,49.0,37.78,889,0.88,1.94
34,34,18,3,52.143,347.007,1.61,652.58,8,32,47.14,44.4,724,1.11,1.81
35,35,18,4,18.002,224.177,1.47,479.37,4,14,0.01,1.7,463,0.96,1.91
36,36,19,1,34.818,269.016,4.85,687.5,7,16,14.44,21.01,599,0.87,1.97
37,37,19,2,17.277,217.403,0.69,564.05,5,15,13.76,15.56,489,0.87,2.08
38,38,19,3,74.786,290.486,4.26,563.42,17,25,56.64,50.06,664,1.17,1.82
