,participant,scenario,planning_time,navigation_time,planning_distance,navigating_distance,planning_stop,navigation_stop,planning_stop_time_seconds,navigation_stop_time_seconds,planning_speed,navigating_speed
0,8,1,121.195,461.721,98.12,897.23,10,23,55.66,60.02,0.81,1.94
1,8,2,44.069,359.893,10.54,943.56,6,14,30.32,6.07,0.24,2.62
2,8,3,58.031,248.46,14.66,566.87,15,11,11.22,2.43,0.25,2.28
3,8,4,72.901,562.603,12.41,955.78,15,40,47.86,61.92,0.17,1.7
4,9,1,152.907,215.555,39.4,537.79,9,7,56.05,9.26,0.26,2.49
5,9,2,74.366,224.688,7.05,560.17,5,9,58.09,14.73,0.09,2.49
6,9,3,68.684,369.273,1.26,569.24,7,32,64.01,70.65,0.02,1.54
7,9,4,57.726,741.033,8.45,1110.32,16,52,21.68,76,0.15,1.5
8,10,1,53.834,221.688,80.75,535.19,5,14,16.25,6.38,1.5,2.41
9,10,2,34.926,364.646,0.45,886.25,9,8,13.49,0.09,0.01,2.43
10,10,3,65.024,535.703,12.93,985.34,11,39,49.07,31.73,0.2,1.84
11,10,4,114.824,418.201,188.28,991.34,15,17,6.72,2.3,1.64,2.37
12,12,1,64.471,318.357,0,703.31,4,15,64.47,34.47,0,2.21
13,12,2,56.513,370.742,7.96,938.19,15,16,22.12,16.39,0.14,2.53
14,12,3,76.895,537.129,2.16,896.09,8,43,69.97,60.51,0.03,1.67
15,12,4,45.782,389.297,1.01,668.24,11,16,17.29,33.98,0.02,1.72
16,13,1,34.673,220.307,0.63,591.44,5,8,30.09,10.64,0.02,2.68
17,13,2,22.554,223.195,0.37,579.95,6,9,8.54,0.6,0.02,2.6
18,13,3,39.172,224.079,0.45,486.99,7,20,37.04,18.57,0.01,2.17
19,13,4,22.173,454.685,9.98,1061.78,10,24,0.56,13.3,0.45,2.34
20,15,1,21.246,294.772,4.48,619.43,3,15,17.85,17.52,0.21,2.1
21,15,2,110.689,275.443,229.95,725.39,5,11,3.51,8.31,2.08,2.63
22,15,3,77.865,535.115,13.93,987.57,11,28,15.82,20.05,0.18,1.85
23,15,4,59.145,859.797,37.5,1558,12,60,4.48,63.47,0.63,1.81
24,16,1,62.606,271.827,3.63,562.32,12,8,13.86,1.92,0.06,2.07
25,16,2,36.556,459.502,5.72,887.15,4,29,27.71,75.12,0.16,1.93
26,16,3,47.041,303.743,1.67,508.77,8,30,41.68,35.49,0.04,1.68
27,16,4,59.269,651.518,0.41,798.88,5,78,58.2,126.37,0.01,1.23
28,17,1,64.754,347.352,0.52,767.82,8,19,43.39,33.94,0.01,2.21
29,17,2,59.961,366.946,1.89,725.94,4,24,48.52,38.99,0.03,1.98
30,17,3,252.944,377.617,227,761.98,19,31,108.94,34.12,0.9,2.02
31,17,4,50.679,352.778,2.03,847.93,6,30,8.98,8.27,0.04,2.4
32,18,1,32.188,274.448,0,646.12,4,14,32.19,44.78,0,2.35
